# ╭───────────────────────────── Timing Information ─────────────────────────────╮
# │ Total: 203.250                                                               │
# │ └── (99.1%) | LPS_VMC._forward_and_backward : 201.400 s                      │
# │     ├── (41.5%) | MCState.expect_and_grad : 83.679 s                         │
# │     │   └── (79.5%) | MCState.sample : 66.542 s                              │
# │     │       └── (55.0%) | sampling n_discarded samples : 36.620 s            │
# │     └── (58.3%) | AbstractLinearPreconditioner.__call__ : 117.470 s          │
# │         └── (99.3%) | LinearOperator.solve : 116.594 s                       │
# ╰──────────────────────────────────────────────────────────────────────────────╯
Mean,Variance,Sigma,R_hat,TauCorr,iter_per_sec,total_time
-99.69125329614242,199.7612792982201,0.15790842624978274,1.1231407807314686,0.01128052195742979,-1,203.25038317899453
-103.62397796930082,185.525794492748,0.14949774980202413,1.112226093968673,0.0,-1,203.25038317899453
-107.23909315465147,173.08615217239685,0.15158755233654436,1.1300072676621606,0.04378184719270284,5,203.25038317899453
-110.98548412737887,161.98711641320236,0.14707466875592998,1.1329871305481491,0.046959577444845135,6,203.25038317899453
-113.71070353471794,147.4417503627618,0.1384609812570497,1.1259664921615313,0.03259156032263766,6,203.25038317899453
-116.98398908232184,145.47427175428726,0.1383973279191919,1.1297388927809977,0.0392984430210338,6,203.25038317899453
-119.77341846673124,138.17478132596932,0.13733936508734687,1.136541917260491,0.05914086336470192,6,203.25038317899453
-122.6479105951341,128.7976987915774,0.1329807172003962,1.1382216603315463,0.062379117781166005,5,203.25038317899453
-125.05347767628116,124.80156769082282,0.1337592409282068,1.1436389964150295,0.08720196233066546,5,203.25038317899453
-127.57498055899954,122.16505394363335,0.1385050045621794,1.1535768290750792,0.14319682022204205,5,203.25038317899453
-130.0678968598652,115.17987380159458,0.13725360299855358,1.1573747671078771,0.16993220729448377,5,203.25038317899453
-132.47960092321344,108.98048385428287,0.13304788199081405,1.1572072346671096,0.1653147424132313,4,203.25038317899453
-134.60293000259216,108.65487818030482,0.13764277845685435,1.165276369463493,0.21419627404859554,4,203.25038317899453
-136.81262035954188,108.06305917521303,0.13869651594834506,1.1699821556925276,0.2291448179026524,4,203.25038317899453
-139.2082625211139,105.87401530946026,0.14511156017473703,1.1848528696038674,0.3146566120433867,4,203.25038317899453
-140.96575196213698,107.63511273002011,0.1466693756361682,1.1868360280850327,0.318624737923378,4,203.25038317899453
-143.21223420240156,104.58725513149822,0.14702039197485986,1.1968921466840419,0.34651826933853935,4,203.25038317899453
-145.61514352318693,110.60232828624049,0.1605235995935654,1.209497467017012,0.45427480632496975,3,203.25038317899453
-147.9950121851224,115.99427710198091,0.16802043151543103,1.2135205608472057,0.4968907742224161,3,203.25038317899453
-150.46159511705594,121.7712817921402,0.17995062137332102,1.2265109626387187,0.5892354608348418,3,203.25038317899453
-152.81020351824392,131.2558777581444,0.19022994237664861,1.2338506037879613,0.6292729880894858,3,203.25038317899453
-155.29969553781018,140.41010642769342,0.20508822614821798,1.244993530391373,0.7269956894851726,3,203.25038317899453
-158.34732110631796,156.97492122564006,0.2240145788378545,1.2563516714875143,0.8094298601953622,3,203.25038317899453
-161.5153664465749,177.1873504830748,0.2463938655370187,1.2671623276186865,0.9034179142510586,3,203.25038317899453
-164.95311585122988,196.54862921511153,0.26575441888094864,1.2743522126195292,0.9718071819939089,3,203.25038317899453
-168.89004099195688,223.5760324932732,0.29145965983939237,1.2824757423144186,1.0562938825446808,2,203.25038317899453
-173.37133467167632,250.924025927914,0.31382411106155916,1.287254867936945,1.1076455979859956,2,203.25038317899453
-178.19136080240636,262.6294187680417,0.3235712750149535,1.289389688305239,1.1328883702072756,2,203.25038317899453
