# ╭───────────────────────────── Timing Information ─────────────────────────────╮
# │ Total: 2293.724                                                              │
# │ └── (99.6%) | LPE_VMC._forward_and_backward : 2285.626 s                     │
# │     ├── (3.1%) | MCState.sample : 70.841 s                                   │
# │     │   └── (56.1%) | sampling n_discarded samples : 39.753 s                │
# │     ├── (1.0%) | expect_and_grad_lp : 23.147 s                               │
# │     └── (16.2%) | AbstractLinearPreconditioner.__call__ : 371.057 s          │
# │         └── (99.4%) | LinearOperator.solve : 368.732 s                       │
# ╰──────────────────────────────────────────────────────────────────────────────╯
Mean,Variance,Sigma,R_hat,TauCorr,iter_per_sec,total_time,Condition_number
-63.997515094652215,64.05447616242002,0.02046341573449272,,0.0,-1,2293.724386201997,1088.7401364018788
-65.09366207420621,60.44355271776525,0.024189590840438525,,0.13443479349010545,-1,2293.724386201997,1142.4633134450196
-66.29133077360765,55.557115294076524,0.02242091204218524,,0.09298921243343672,0,2293.724386201997,1201.9488994593812
-67.38419125758816,51.29209498936819,0.018006991280395013,,0.0,0,2293.724386201997,1272.7366592992396
-68.3996711575607,46.85549979999706,0.02373015639673728,,0.28762693003667283,0,2293.724386201997,1323.149261680113
-69.33234230604262,42.90430921821616,0.014309609178653891,,0.0,0,2293.724386201997,1345.2462652676047
-70.21807455056923,39.628029024982695,0.018987486720139415,,0.0962280782406324,0,2293.724386201997,1337.847843979989
-70.97798097824423,36.17953378950044,0.015491310187205088,,0.0,0,2293.724386201997,1301.0226961658054
-71.6447082540964,32.97693671840253,0.014026681901991557,,0.0,0,2293.724386201997,1244.0949578870634
-72.26492904170559,30.665843308989906,0.014185186696315855,,0.0,0,2293.724386201997,1182.3477166621649
-72.8561132556119,28.36762794953671,0.016716677904515337,,0.14559009328525352,0,2293.724386201997,1127.9055446621105
-73.38614375546797,26.04013700185485,0.016569413331930915,,0.19095685422002673,0,2293.724386201997,1084.8922119347487
-73.8395154675807,24.156938827938855,0.016860066671718976,,0.27118150667494134,0,2293.724386201997,1043.4557506823896
-74.29953673916243,22.503591728536897,0.010741624449135494,,0.0,0,2293.724386201997,1019.9018499461388
-74.68337749169925,20.785636832605476,0.011107688639252305,,0.0,0,2293.724386201997,994.2291577396935
-75.04332793061772,19.517011862723802,0.009573804092996465,,0.0,0,2293.724386201997,971.6892728291098
-75.3640539965023,18.260457704473176,0.011486471650904898,,0.0,0,2293.724386201997,975.0207792603145
-75.63095930665708,17.102804730249304,0.009133128503534036,,0.0,0,2293.724386201997,956.9590290606423
-75.98037614737244,16.0781510766544,0.013661506742963521,,0.2607483640528897,0,2293.724386201997,962.9905360605754
-76.23639448909867,15.195845752916663,0.012561453399564727,,0.1805105103082264,0,2293.724386201997,976.6878393183442
-76.48112370563379,14.293958407202998,0.012006036245060706,,0.160886250772716,0,2293.724386201997,992.7344605438104
-76.71590377711019,13.43372820709331,0.010428827291125283,,0.03058421301022618,0,2293.724386201997,1000.0497894343501
-76.8836042792716,12.715701172158893,0.009344163035415876,,0.0,0,2293.724386201997,1054.7881447070265
-77.09870691645125,12.101366170969058,0.013186623135416095,,0.4417003186609513,0,2293.724386201997,1095.7621915586042
-77.27885365858319,11.478491694032968,0.010272965029507579,,0.10254116909442035,0,2293.724386201997,1133.901485306438
-77.45985404281689,10.897265861887268,0.008813521488197253,,0.0,0,2293.724386201997,1192.4903554665957
