# ╭───────────────────────────── Timing Information ─────────────────────────────╮
# │ Total: 4502.769                                                              │
# │ └── (99.6%) | LPE_VMC._forward_and_backward : 4486.968 s                     │
# │     ├── (5.7%) | MCState.sample : 257.389 s                                  │
# │     │   └── (55.2%) | sampling n_discarded samples : 141.990 s               │
# │     └── (18.4%) | AbstractLinearPreconditioner.__call__ : 826.428 s          │
# │         └── (99.5%) | LinearOperator.solve : 822.417 s                       │
# ╰──────────────────────────────────────────────────────────────────────────────╯
Mean,Variance,Sigma,R_hat,TauCorr,iter_per_sec,total_time,Condition_number
-66.02794001625838,255.35002194868875,0.05593857269222991,,0.3030947611369972,-1,4502.768767961999,1106.102809281742
-69.53811920925347,241.94380192614847,0.058123522862092894,,0.41510154307157443,-1,4502.768767961999,1652.880348954455
-73.90060061609717,220.40097354068376,0.05384219353837495,,0.36200922129307944,0,4502.768767961999,1686.028603358037
-77.9029396356749,201.03522502536788,0.060741731327577334,,0.7027686596752665,0,4502.768767961999,1762.5176150555767
-81.3258089758918,180.11082858805008,0.04837598204318441,,0.3515294944584504,0,4502.768767961999,1864.1561757993804
-84.55190295605364,162.4921623136324,0.05657113076758321,,0.7907354320046998,0,4502.768767961999,2008.5696849600556
-87.18108934464559,147.36259619150246,0.0449116612470237,,0.3970381336621892,0,4502.768767961999,2105.224982645582
-89.46432801527898,134.95130688072487,0.04542303173513126,,0.5019708136020211,0,4502.768767961999,2270.570102184748
-91.4768660191798,124.29514672799634,0.04544826289660166,,0.5890813880506143,0,4502.768767961999,2385.504422919501
-93.11386790374918,116.4043106527694,0.03590828721835327,,0.2259391990468852,0,4502.768767961999,2551.9803665242553
-94.5315980217353,109.84705745522996,0.03369718081508585,,0.17745217203552366,0,4502.768767961999,2764.000909396228
-95.84501745179692,103.61853751688622,0.03564381636255035,,0.3035462290302976,0,4502.768767961999,3061.7619369800723
-96.99377856196199,99.31840708682007,0.039586393630675634,,0.5340512469871908,0,4502.768767961999,3402.8055038379
-98.00348402743924,91.62722269722371,0.02938819925963932,,0.11773379208688417,0,4502.768767961999,3691.002900252524
-98.99419045395342,86.25490130512621,0.03541891896876667,,0.45316206985989294,0,4502.768767961999,4090.422541268644
-100.02479368459848,79.37841282105438,0.042513759998178635,,0.9922327002293196,0,4502.768767961999,4402.3915573509985
-100.94166000516489,73.31010578665045,0.03528823858095302,,0.613207302145214,0,4502.768767961999,4818.036426610607
-101.89484305073736,66.89598616076323,0.03531110340438445,,0.721525246919533,0,4502.768767961999,5026.37267840531
-102.7272549142214,60.49338944146341,0.026183336017121334,,0.24271461553802698,0,4502.768767961999,5330.136255288888
-103.50127990138859,54.54509529244193,0.027162136575136407,,0.3864455883434187,0,4502.768767961999,5666.685869705431
-104.22508830652984,49.142897487183944,0.027941713217585176,,0.5411786003858894,0,4502.768767961999,5989.150335338382
-104.95093559970616,44.114781365557306,0.027988259990446983,,0.6637175889953777,0,4502.768767961999,6307.582727140815
-105.6452667323146,39.078161941864494,0.031175170691403683,,1.1299094673564676,0,4502.768767961999,6707.880882697441
-106.21379765208363,35.13184150969677,0.023473211596892064,,0.5278365167660275,0,4502.768767961999,7104.781410089114
-106.7605060266334,31.50653646611292,0.024144246998362054,,0.7125693816959577,0,4502.768767961999,7255.375687208471
-107.28595364053925,28.228277462903236,0.021694249530968397,,0.592659422978348,0,4502.768767961999,7569.347439343403
-107.72263257005375,25.154457674108748,0.01772887192756316,,0.31889303556974324,0,4502.768767961999,7777.185222927342
-108.13399924711675,22.85572879818225,0.01539027879465455,,0.17916896248656555,0,4502.768767961999,8192.389026707926
-108.51113310166227,20.53939858170712,0.0177114860026414,,0.5009265478905716,0,4502.768767961999,8490.452842098495
-108.83831099115349,18.392366822508286,0.02095980885929624,,1.065369783175896,0,4502.768767961999,8767.555651551034
-109.15023137541218,16.678523083362627,0.0144657413567509,,0.32224971535010594,0,4502.768767961999,8882.915576218329
-109.4337286269528,15.203654896447867,0.01741977332833321,,0.80802765622073,0,4502.768767961999,9232.30665045538
-109.69339416211437,13.829818583603437,0.01787186299752874,,1.013572054300776,0,4502.768767961999,9555.333483089524
-109.98448014457807,12.694921960864638,0.013566423936504635,,0.4501248205323394,0,4502.768767961999,9873.558053359717
-110.2312346588029,11.410254283325902,0.013998546173690403,,0.6255128971468935,0,4502.768767961999,10126.409534494363
-110.37176783743718,10.656614531157032,0.010965400286466146,,0.23945143108668343,0,4502.768767961999,10329.075119710627
-110.55920277701995,9.868404707464862,0.01043036563940924,,0.22249034015021263,0,4502.768767961999,10592.033384643059
-110.72788045092872,9.063156399756547,0.015446744714032025,,1.2253388209964702,0,4502.768767961999,10989.465843674843
-110.90055807911398,8.467078361199478,0.01314261666410988,,0.8369342003927469,0,4502.768767961999,11061.127784748667
-111.03673628557398,7.885076608082679,0.01376924311935877,,1.075774796470966,0,4502.768767961999,11556.56301379494
-111.18708076400374,7.300836164616675,0.009636715430068759,,0.33361476265942713,0,4502.768767961999,11697.401209997028
-111.3010793132621,6.773170211311542,0.010640208974817766,,0.5954391451173495,0,4502.768767961999,12121.421218759837
-111.44026482040468,6.309220249558658,0.011231983878242589,,0.8104401324072934,0,4502.768767961999,12333.046098053874
-111.51399146822678,5.908072547616287,0.010770352061229747,,0.7867492108267715,0,4502.768767961999,12570.566991146365
-111.62735839085153,5.5724337713455645,0.010665755381498804,,0.8378833622386435,0,4502.768767961999,12744.325229938097
-111.72487107722726,5.126679852692834,0.0109325472152966,,1.0278701850941574,0,4502.768767961999,13214.01735035959
-111.80639322955005,4.902179275363127,0.00921547847170872,,0.6353415156258007,0,4502.768767961999,13608.59633957126
-111.86823136225843,4.607064676623324,0.008833745012818165,,0.610057153116665,0,4502.768767961999,13753.049740369774
-111.97172363152995,4.352980252398204,0.007583176684990346,,0.36575614673149404,0,4502.768767961999,14164.874667894763
-112.00966139429805,4.181645220496199,0.00754376440764586,,0.3918852483335358,0,4502.768767961999,14286.217875134036
-112.10082168641966,3.9102044462717154,0.00809217553808906,,0.5975164934381734,0,4502.768767961999,14800.310350738595
-112.14564614117985,3.744393886560573,0.006745449528355556,,0.296379729617229,0,4502.768767961999,15111.078136384012
-112.22038463735382,3.5529574288302364,0.00767721152892778,,0.5871687000095136,0,4502.768767961999,15251.059696181486
-112.26721978722702,3.3625333998875835,0.0077233151802621955,,0.6625746270985529,0,4502.768767961999,15592.669664247922
-112.30639896706371,3.231857158630457,0.007925828184054068,,0.7738464466162085,0,4502.768767961999,15686.720623453944
