tags
"{""BC"": ""PBC"", ""n_dim"": 1, ""L"": 64, ""J"": 1}"
"{""BC"": ""PBC"", ""n_dim"": 1, ""L"": 32, ""J"": 1}"
"{""BC"": ""PBC"", ""n_dim"": 1, ""L"": 16, ""J"": 1}"
