# ╭───────────────────────────── Timing Information ─────────────────────────────╮
# │ Total: 41.443                                                                │
# │ ├── (86.7%) | LPS_VMC._forward_and_backward : 35.919 s                       │
# │ │   ├── (65.2%) | MCState.sample : 23.408 s                                  │
# │ │   │   └── (54.7%) | sampling n_discarded samples : 12.807 s                │
# │ │   ├── (6.0%) | MCState.expect_and_grad : 2.150 s                           │
# │ │   └── (27.1%) | AbstractLinearPreconditioner.__call__ : 9.740 s            │
# │ │       ├── (8.0%) | QGTOnTheFly_DefaultConstructor : 0.778 s                │
# │ │       └── (90.7%) | LinearOperator.solve : 8.833 s                         │
# │ └── (1.7%) | loggers : 0.697 s                                               │
# ╰──────────────────────────────────────────────────────────────────────────────╯
Mean,Variance,Sigma,R_hat,TauCorr,iter_per_sec,total_time
-100.76408165613066,232.55173068110878,1.3622409388102066,1.1178541709578431,0.010702817286582511,-1,41.442561319010565
-98.75572397921418,229.78616098703847,1.3727444284875996,1.1458370351163811,0.024850341301461687,-1,41.442561319010565
-100.9167610354582,197.7280177781358,0.8845782003756474,1.0569868730467424,0.0,-1,41.442561319010565
-100.44874811582254,236.1251006927181,1.2174841561453307,1.1040429832229588,0.0,18,41.442561319010565
-98.712348041949,208.54174578178527,1.26092405110123,1.122618866862517,0.0,18,41.442561319010565
-98.31390901858228,178.42126839689166,1.2410515924325771,1.1120028502953696,0.05247550031877901,18,41.442561319010565
-97.43578314732724,180.47972299401562,1.2520844463735166,1.1947963596447158,0.05592832164174644,18,41.442561319010565
-100.68058061893615,184.92869544649147,1.204104631549888,1.090263638091652,0.0017693411724845065,25,41.442561319010565
-100.50613868430884,207.15750537045025,1.321535151893414,1.111367886031,0.03955626609944907,25,41.442561319010565
-99.69437515571809,208.7450878605116,1.2413349490138608,1.1046435535167318,0.0,25,41.442561319010565
-101.2477168143943,200.98633013953332,1.3033960885708593,1.1366209506184488,0.04096140370061008,25,41.442561319010565
-100.42156175247874,222.2794845104184,1.3792441961245963,1.1641462864550594,0.04772545307513587,28,41.442561319010565
