dtype,n_samples,KL
f64,1024,23.035347277386588
f64,2048,23.01920985438327
f64,4096,22.994080189208407
f64,8192,22.94306052195499
f64,16384,22.84442029929369
f64,32768,22.654267576519395
f64,65536,22.314781819687084
f64,131072,21.701505259600772
f64,262144,20.67717473539755
f64,524288,19.080425992302025
f64,1048576,17.008631735973992
f32,1024,23.035347277386588
f32,2048,23.01920985438327
f32,4096,22.994080189208407
f32,8192,22.94306052195499
f32,16384,22.84442029929369
f32,32768,22.654267576519395
f32,65536,22.314781819687084
f32,131072,21.70151598115264
f32,262144,20.677091464937092
f32,524288,19.080748381897244
f32,1048576,17.008603279379876
f16,1024,23.03596122923087
f16,2048,23.020357482737175
f16,4096,22.992926692734095
f16,8192,22.943186907423982
f16,16384,22.844186826298433
f16,32768,22.654719156663305
f16,65536,22.315610719530795
f16,131072,21.70370381614373
f16,262144,20.67962563848538
f16,524288,19.078121455416905
f16,1048576,17.017217090625767
bf16,1024,23.035301230998268
bf16,2048,23.021736810060908
bf16,4096,22.994444884008303
bf16,8192,22.94251333479381
bf16,16384,22.844685484952887
bf16,32768,22.656795705167397
bf16,65536,22.314034611069665
bf16,131072,21.701210513749686
bf16,262144,20.676532144755953
bf16,524288,19.080889464930323
bf16,1048576,17.01198713864423
