dtype,n_samples,KL
f64,1024,28.928038784809296
f64,2048,28.575951819612243
f64,4096,28.40950469188595
f64,8192,28.25934748222552
f64,16384,28.25560623683482
f64,32768,28.225502994557743
f64,65536,28.221561185593043
f64,131072,28.21319517911763
f64,262144,28.20879253350062
f64,524288,28.207562261037886
f64,1048576,28.2082595536043
f64,2097152,28.20766793318065
f64,4194304,28.20789364021102
f64,8388608,28.207658484832628
f32,1024,29.000449237498618
f32,2048,28.57221579688934
f32,4096,28.40950469188595
f32,8192,28.255857330741442
f32,16384,28.25560623683482
f32,32768,28.225502994557743
f32,65536,28.22157708511964
f32,131072,28.212899262657338
f32,262144,28.208877905310693
f32,524288,28.20766429364427
f32,1048576,28.208260480774893
f32,2097152,28.20767230435844
f32,4194304,28.207891923379773
f32,8388608,28.207657183989475
f16,1024,29.20120419373179
f16,2048,28.628207804245026
f16,4096,28.411212932561096
f16,8192,28.26364249580808
f16,16384,28.278202798802205
f16,32768,28.22811244930648
f16,65536,28.22063845399042
f16,131072,28.2135962359159
f16,262144,28.20876322855178
f16,524288,28.207672882912455
f16,1048576,28.208736519906076
f16,2097152,28.20815201520242
f16,4194304,28.20880939582983
f16,8388608,28.208050168261465
bf16,1024,29.093285256641877
bf16,2048,28.62102941874056
bf16,4096,28.411003078526612
bf16,8192,28.30502392127363
bf16,16384,28.255252011747036
bf16,32768,28.22448569264889
bf16,65536,28.221125618149575
bf16,131072,28.213377317009908
bf16,262144,28.213457911780722
bf16,524288,28.211383665146606
bf16,1048576,28.20893094283574
bf16,2097152,28.210923086293292
bf16,4194304,28.210610646990347
bf16,8388608,28.21032730987789
