dtype,n_samples,KL
f64,1024,25.312465727876184
f64,2048,24.367082091440142
f64,4096,24.368600194627554
f64,8192,23.890036928305335
f64,16384,23.39872345133887
f64,32768,23.113746854448074
f64,65536,22.99535822141347
f64,131072,22.890551996219124
f64,262144,22.807105444440566
f64,524288,22.72480051398563
f64,1048576,22.66430932764232
f32,1024,25.312465727876184
f32,2048,24.367082091440142
f32,4096,24.368600194627554
f32,8192,23.890036928305335
f32,16384,23.39872345133887
f32,32768,23.113615743235783
f32,65536,22.99535822141347
f32,131072,22.890551996219124
f32,262144,22.808040796628823
f32,524288,22.7245155664745
f32,1048576,22.66430931556541
f16,1024,25.28020457640994
f16,2048,24.354175674711954
f16,4096,24.35823728728274
f16,8192,23.91781423655502
f16,16384,23.484057579504363
f16,32768,23.09585648708224
f16,65536,23.005939887891657
f16,131072,22.880087681733624
f16,262144,22.809955337798083
f16,524288,22.718596430132276
f16,1048576,22.665825896658315
bf16,1024,25.45316657345977
bf16,2048,24.30179056154521
bf16,4096,24.248951694121832
bf16,8192,23.813545458663583
bf16,16384,23.42057884403197
bf16,32768,23.10825985649221
bf16,65536,23.017598622185016
bf16,131072,22.906339779771322
bf16,262144,22.821489277051057
bf16,524288,22.74006878004403
bf16,1048576,22.684250198117304
