# ╭───────────────────────────── Timing Information ─────────────────────────────╮
# │ Total: 4991.141                                                              │
# │ └── (99.5%) | LPE_VMC._forward_and_backward : 4965.263 s                     │
# │     ├── (5.1%) | MCState.sample : 252.248 s                                  │
# │     │   └── (55.0%) | sampling n_discarded samples : 138.855 s               │
# │     └── (14.8%) | AbstractLinearPreconditioner.__call__ : 732.808 s          │
# │         └── (99.3%) | LinearOperator.solve : 727.552 s                       │
# ╰──────────────────────────────────────────────────────────────────────────────╯
Mean,Variance,Sigma,R_hat,TauCorr,iter_per_sec,total_time,Condition_number
-66.09391784667969,255.12347412109375,0.05297959968447685,,0.22101914882659912,-1,4991.140593029995,1099.3261816289623
-70.24315643310547,241.70315551757812,0.06769528985023499,,0.7425520420074463,-1,4991.140593029995,1556.303991441684
-74.39787292480469,220.0828399658203,0.06617739051580429,,0.804106593132019,0,4991.140593029995,1618.2300759603525
-78.2712631225586,198.39706420898438,0.06044532731175423,,0.7068969011306763,0,4991.140593029995,1728.1751553385432
-81.80620574951172,178.1672821044922,0.06569963693618774,,1.0877346992492676,0,4991.140593029995,1862.2047785535676
-84.92393493652344,162.57785034179688,0.04919122904539108,,0.475425124168396,0,4991.140593029995,1981.554135585408
-87.50726318359375,149.64385986328125,0.04401766136288643,,0.3485451936721802,0,4991.140593029995,2110.698648213972
-89.84285736083984,139.11293029785156,0.04537804052233696,,0.47007185220718384,0,4991.140593029995,2249.0216954034304
-91.73280334472656,128.37765502929688,0.04501976817846298,,0.5346584320068359,0,4991.140593029995,2374.5494058655145
-93.40634155273438,119.717529296875,0.040223635733127594,,0.3856964111328125,0,4991.140593029995,2539.0535515909546
-94.88917541503906,113.13956451416016,0.04488229379057884,,0.666851282119751,0,4991.140593029995,2763.5113607058565
-96.22018432617188,108.56546020507812,0.042145829647779465,,0.5722535848617554,0,4991.140593029995,3046.518976271824
-97.45265197753906,105.99016571044922,0.03709537535905838,,0.350851833820343,0,4991.140593029995,3381.161590946138
-98.5631103515625,101.95722961425781,0.04419507086277008,,0.7554794549942017,0,4991.140593029995,3682.545748052603
-99.59828186035156,97.25767517089844,0.0357363224029541,,0.3605493903160095,0,4991.140593029995,4043.5316304938583
