# ╭───────────────────────────── Timing Information ─────────────────────────────╮
# │ Total: 124.129                                                               │
# │ └── (98.8%) | LPS_VMC._forward_and_backward : 122.667 s                      │
# │     ├── (89.3%) | MCState.sample : 109.516 s                                 │
# │     │   └── (54.8%) | sampling n_discarded samples : 59.968 s                │
# │     ├── (5.4%) | MCState.expect_and_grad : 6.617 s                           │
# │     └── (4.8%) | AbstractLinearPreconditioner.__call__ : 5.873 s             │
# │         ├── (30.8%) | QGTJacobian_DefaultConstructor : 1.809 s               │
# │         │   └── (79.5%) | jacobian : 1.438 s                                 │
# │         └── (66.9%) | LinearOperator.solve : 3.930 s                         │
# ╰──────────────────────────────────────────────────────────────────────────────╯
Mean,Variance,Sigma,R_hat,TauCorr,iter_per_sec,total_time
-101.09375000000003,200.92871093750003,1.4350246180107293,1.1678955453966935,0.1559287682684296,-1,124.12939270102652
-100.58998853924396,159.50107476286206,1.2424010427573013,1.1564407585179761,0.11935546587203993,-1,124.12939270102652
-103.42841403807775,204.70616215046,1.428406704156127,1.1057535462194061,0.13790031636968691,4,124.12939270102652
-103.8257208756103,192.9592327893514,0.9693142810897794,1.1133911520758693,0.0,6,124.12939270102652
-104.07942052177023,164.61232070975643,1.0398300331402186,1.1162728375824802,0.0,7,124.12939270102652
-104.4473726615027,171.16650859797443,1.1525894631353992,1.1386539303922811,0.0,7,124.12939270102652
-107.00171334493747,178.81981703782685,1.148416533313746,1.1053261300141262,0.0,8,124.12939270102652
-110.3377128402332,149.31086945420802,1.213887302925114,1.1621832874047833,0.13160460409683783,8,124.12939270102652
-112.53273720177002,199.50184111275925,1.2532930824340787,1.099618472677788,0.0038930301085127184,8,124.12939270102652
-113.7240007388129,165.27981595748852,1.0874065898908918,1.1145680083033314,0.0,8,124.12939270102652
-113.81389024060624,186.99942657214567,1.4446261272520744,1.133869088962328,0.21425062574182197,8,124.12939270102652
-114.92685724923558,156.31687983660174,1.2970089970237189,1.1465455615652873,0.18874756051688346,8,124.12939270102652
-118.79419083962634,143.91824406986348,1.1611094059857106,1.170236376203591,0.09952929476333883,8,124.12939270102652
-119.20143396780094,118.44304061556592,1.140700798845412,1.173275323274766,0.20309485104687197,8,124.12939270102652
-121.95429845387503,155.07337796043893,1.093213337114677,1.1473291718196867,0.0,8,124.12939270102652
-122.0337176275138,152.51090897471602,1.2349166048221834,1.1319445662177177,0.13996220330426268,8,124.12939270102652
-122.54844995321228,119.58547187879483,1.0286962551221597,1.0930312582748019,0.06633821814069407,8,124.12939270102652
-123.75742656122375,123.35355970406148,1.063169685310568,1.1337099123440548,0.08645333039767933,8,124.12939270102652
-123.90557098483922,151.15393565508094,1.0794800410731107,1.1183482950865167,0.0,8,124.12939270102652
-127.58383839392835,158.5214939405757,1.3113675530366127,1.179109209865982,0.19428964016274397,8,124.12939270102652
-128.37868371490404,132.963390145358,1.1054515816443524,1.126018721390196,0.08820314880314029,8,124.12939270102652
-130.22130556528842,155.47774883671718,1.3586024728569859,1.1589230716572938,0.25979517555441967,8,124.12939270102652
-132.50985646450613,137.42306075010285,1.089273962971956,1.136780777829557,0.05257928789870492,8,124.12939270102652
-129.19812866844666,124.36135627905361,1.1899896606080487,1.174065236227859,0.22875391377445553,8,124.12939270102652
-131.0917350966488,128.4591258603133,1.203968515660193,1.1633581714341985,0.2221796920036918,8,124.12939270102652
