Sigma,Acceptance
0.0,0.6089409722222222
0.001,0.6087314415708812
0.0011497569953977356,0.608536877394636
0.0013219411484660286,0.6082674808429118
0.0015199110829529332,0.6081028496168582
0.001747528400007683,0.6079382183908046
0.002009233002565048,0.6074443247126436
0.0023101297000831605,0.6082974137931034
0.0026560877829466868,0.6067708333333334
0.0030538555088334154,0.6091505028735632
0.003511191734215131,0.6080130507662835
0.004037017258596553,0.6083572796934866
0.004641588833612782,0.6084620450191571
0.005336699231206312,0.6083123802681992
0.006135907273413175,0.6092403017241379
0.007054802310718645,0.6096144636015326
0.008111308307896872,0.6079382183908046
0.0093260334688322,0.6084470785440613
0.010722672220103232,0.6095545977011494
0.012328467394420659,0.6081627155172413
0.014174741629268055,0.6101682231800766
0.016297508346206444,0.6088661398467433
0.01873817422860384,0.6072946599616859
0.021544346900318843,0.6103178879310345
0.024770763559917114,0.6057231800766284
0.02848035868435802,0.6060075431034483
0.03274549162877728,0.6104825191570882
0.037649358067924674,0.6049748563218391
0.04328761281083059,0.6012931034482759
0.049770235643321115,0.598703903256705
0.05722367659350217,0.6009788074712644
0.06579332246575682,0.5984195402298851
0.07564633275546291,0.5957405411877394
0.08697490026177834,0.5901430795019157
0.1,0.5881974377394636
0.11497569953977356,0.5851592432950191
0.13219411484660287,0.576658285440613
0.1519911082952933,0.5625897988505747
0.17475284000076846,0.5537745450191571
0.2009233002565048,0.5448245929118773
0.23101297000831603,0.5301424808429118
0.26560877829466867,0.5137990900383141
0.30538555088334157,0.4932052203065134
0.3511191734215131,0.46252394636015326
0.40370172585965536,0.4347910680076628
0.4641588833612782,0.3965666906130268
0.5336699231206312,0.3603178879310345
0.6135907273413176,0.3142361111111111
0.7054802310718645,0.2567498802681992
0.8111308307896873,0.2042474856321839
0.9326033468832199,0.1664272030651341
1.072267222010323,0.10790828544061302
1.232846739442066,0.07070162835249043
1.4174741629268048,0.05087104885057471
1.629750834620645,0.015714798850574713
1.873817422860385,0.018109434865900383
2.1544346900318843,0.008096863026819924
2.4770763559917115,0.002065373563218391
2.848035868435802,0.006375718390804598
3.274549162877728,0.004609674329501916
3.7649358067924674,0.004115780651340996
4.328761281083062,0.007423371647509579
4.9770235643321135,0.010386733716475095
5.72236765935022,0.010117337164750958
6.5793322465756825,0.005298132183908046
7.56463327554629,0.002185105363984674
8.697490026177835,0.005657327586206897
10.0,0.0014667145593869732
11.497569953977356,0.0010476532567049808
13.219411484660288,0.0009279214559386973
15.199110829529332,0.000613625478927203
17.47528400007683,0.0003292624521072797
20.09233002565046,0.00020953065134099617
23.10129700083158,0.00011973180076628352
26.560877829466893,0.0
30.538555088334185,0.0
35.111917342151344,0.0
40.37017258596558,0.0
46.41588833612782,0.0
53.366992312063125,0.0
61.35907273413176,0.0
70.54802310718645,0.0
81.11308307896873,5.986590038314176e-05
93.26033468832199,0.0
107.22672220103232,0.0
123.28467394420659,0.0
141.74741629268047,0.0
162.97508346206433,0.0
187.3817422860383,0.0
215.44346900318865,0.0
247.7076355991714,0.0
284.8035868435805,0.0
327.4549162877732,0.0
376.49358067924715,0.0
432.87612810830615,0.0
497.7023564332114,0.0
572.236765935022,0.0
657.9332246575682,0.0
756.463327554629,0.0
869.7490026177834,0.0
1000.0,0.0
