Sigma,Acceptance
0.0,0.9137033045977011
0.001,0.9127155172413793
0.0011497569953977356,0.9127753831417624
0.0013219411484660286,0.9131046455938697
0.0015199110829529332,0.913643438697318
0.001747528400007683,0.9138230363984674
0.002009233002565048,0.9139278017241379
0.0023101297000831605,0.9132094109195402
0.0026560877829466868,0.9131794779693486
0.0030538555088334154,0.9125508860153256
0.003511191734215131,0.9130597461685823
0.004037017258596553,0.9132842432950191
0.004641588833612782,0.9125209530651341
0.005336699231206312,0.9118624281609196
0.006135907273413175,0.9100814176245211
0.007054802310718645,0.9115032327586207
0.008111308307896872,0.9107100095785441
0.0093260334688322,0.9097521551724138
0.010722672220103232,0.9085398706896551
0.012328467394420659,0.9080160440613027
0.014174741629268055,0.9068336925287356
0.016297508346206444,0.9072677203065134
0.01873817422860384,0.9045887212643678
0.021544346900318843,0.9028675766283525
0.024770763559917114,0.9021042863984674
0.02848035868435802,0.9006824712643678
0.03274549162877728,0.8977490421455939
0.037649358067924674,0.8949952107279694
0.04328761281083059,0.889577346743295
0.049770235643321115,0.8886793582375478
0.05722367659350217,0.8843241139846744
0.06579332246575682,0.8770354406130269
0.07564633275546291,0.8705100574712644
0.08697490026177834,0.8588212404214559
0.1,0.8511733716475096
0.11497569953977356,0.8386913314176245
0.13219411484660287,0.8230363984674329
0.1519911082952933,0.8057800526819924
0.17475284000076846,0.7810105363984674
0.2009233002565048,0.7546545737547893
0.23101297000831603,0.7259638409961686
0.26560877829466867,0.6917504789272031
0.30538555088334157,0.6559207375478927
0.3511191734215131,0.6037027059386973
0.40370172585965536,0.5582944204980843
0.4641588833612782,0.49603388409961685
0.5336699231206312,0.444264846743295
0.6135907273413176,0.38493773946360155
0.7054802310718645,0.30820462164750956
0.8111308307896873,0.2439385775862069
0.9326033468832199,0.18649724616858238
1.072267222010323,0.1300287356321839
1.232846739442066,0.07665828544061302
1.4174741629268048,0.05292145593869732
1.629750834620645,0.021806154214559385
1.873817422860385,0.019875478927203066
2.1544346900318843,0.010057471264367816
2.4770763559917115,0.0062410201149425285
2.848035868435802,0.0006585249042145594
3.274549162877728,0.003502155172413793
3.7649358067924674,0.009623443486590038
4.328761281083062,0.008216594827586207
4.9770235643321135,0.013858955938697319
5.72236765935022,0.013829022988505748
6.5793322465756825,0.0076478687739463605
7.56463327554629,0.005537595785440613
8.697490026177835,0.0056273946360153254
10.0,0.0011673850574712645
11.497569953977356,0.0009578544061302681
13.219411484660288,0.0009279214559386973
15.199110829529332,0.00041906130268199235
17.47528400007683,0.00023946360153256704
20.09233002565046,0.00017959770114942528
23.10129700083158,8.979885057471264e-05
26.560877829466893,0.0
30.538555088334185,0.0
35.111917342151344,0.0
40.37017258596558,0.0
46.41588833612782,0.0
53.366992312063125,0.0
61.35907273413176,0.0
70.54802310718645,0.0
81.11308307896873,5.986590038314176e-05
93.26033468832199,0.0
107.22672220103232,0.0
123.28467394420659,0.0
141.74741629268047,0.0
162.97508346206433,0.0
187.3817422860383,0.0
215.44346900318865,0.0
247.7076355991714,0.0
284.8035868435805,0.0
327.4549162877732,0.0
376.49358067924715,0.0
432.87612810830615,0.0
497.7023564332114,0.0
572.236765935022,0.0
657.9332246575682,0.0
756.463327554629,0.0
869.7490026177834,0.0
1000.0,0.0
