# ╭───────────────────────────── Timing Information ─────────────────────────────╮
# │ Total (relevant): 1889.254 | Total (excluded): 2943.253 | Total (all):       │
# │ 4832.507                                                                     │
# │ └── (100.0%) | LPS_VMC._forward_and_backward : 4829.627 s                    │
# │     ├── ⊗ computing sigma : 2943.253 s [EXCLUDED]                            │
# │     │   └── (100.0%) | MCState.sample : 2940.937 s                           │
# │     │       └── (100.0%) | sampling n_discarded samples : 1634.235 s         │
# │     ├── (15.4%) | MCState.sample : 291.080 s                                 │
# │     │   └── (100.0%) | sampling n_discarded samples : 166.374 s              │
# │     ├── (76.0%) | MCState.expect_and_grad : 1431.979 s                       │
# │     └── (8.6%) | AbstractLinearPreconditioner.__call__ : 162.148 s           │
# │         ├── (25.5%) | QGTJacobian_DefaultConstructor : 41.305 s              │
# │         │   └── (100.0%) | jacobian : 40.621 s                               │
# │         └── (74.5%) | LinearOperator.solve : 120.601 s                       │
# ╰──────────────────────────────────────────────────────────────────────────────╯
Mean,Variance,Sigma,R_hat,TauCorr,iter_per_sec,total_time,sigma
-100.30859375,206.48289489746057,0.23750852142907744,1.129664169590193,0.05950537623125107,-1,1889.253878732081,0.08861184958228696
-101.89028463617625,195.84647378153642,0.22876271752200397,1.1373727557274187,0.047248638544316046,-1,1889.253878732081,0.10806222140798574
-105.40937115826048,174.49298021361324,0.2036767837580361,1.1262208326940504,0.0,0,1889.253878732081,0.0982906864322493
-108.0882980261166,173.83514111585012,0.21354923390515523,1.1313659643866472,0.03726483159803795,0,1889.253878732081,0.11767604798576396
-111.05495380141933,155.1854765607682,0.20267007935530726,1.1205754930915262,0.0420734705801854,0,1889.253878732081,0.11582518982906699
-114.09942160576202,154.83992817139347,0.19992393628077773,1.1340473824373742,0.02866015514871645,0,1889.253878732081,0.0939149712455681
-115.8405996706273,142.17536818818851,0.19441363153443808,1.1315663108113283,0.04445127116832659,0,1889.253878732081,0.09964771940694306
-118.84876484751891,132.76264065241872,0.19287319635844058,1.1395276071232456,0.07384926005224202,0,1889.253878732081,0.08350947178992561
-120.55824691847738,129.66756246993867,0.1837387585595366,1.140349981920231,0.03321230216758675,0,1889.253878732081,0.09725625473230845
-123.28063700521058,124.17933640882714,0.18503986328672434,1.1372622925905502,0.06469145420238209,0,1889.253878732081,0.1014394605498048
-126.478640278576,129.92976223933496,0.20116052184150485,1.1611317835364674,0.13783275158096298,0,1889.253878732081,0.1023018021286211
-126.71351479077917,118.59656496135374,0.18735330546972803,1.141105238499719,0.1061506308860859,0,1889.253878732081,0.08877183672342621
-129.45335962708296,117.5791345330613,0.19373408740164258,1.1531694280225355,0.15375011124023386,0,1889.253878732081,0.08730819348417417
-131.37151318331522,109.68512414236693,0.18679197525285585,1.149490857362397,0.15147634388309383,0,1889.253878732081,0.08976324512535211
-131.91212725875155,110.68342327184283,0.19372447539491838,1.1590046294539575,0.19441062388285435,0,1889.253878732081,0.0856957758143974
-133.84663133300413,109.19203039005147,0.1925221332071357,1.1615260359014792,0.19518491709767072,0,1889.253878732081,0.0827991582352644
-134.41779663739015,108.34884278721489,0.18903346954140032,1.1639647525617427,0.17543426082150837,0,1889.253878732081,0.1059337052656641
-137.1678849403773,106.48009341332113,0.1952639294149564,1.1766605469184606,0.23334034428670547,0,1889.253878732081,0.0856668227670751
-138.0353297357528,105.21192670395845,0.1995261416406009,1.1826298532760335,0.2749337707965954,0,1889.253878732081,0.08632269100928273
-140.60084640816635,110.20291498595876,0.21310936288248924,1.1882435232401296,0.34399899888786445,0,1889.253878732081,0.08137157577771183
-142.00485351962493,107.72904827877846,0.2083163704062873,1.188888369982181,0.32498096722358516,0,1889.253878732081,0.07551689502800153
-144.42953657411454,115.90428019373567,0.2310802440439615,1.2077786369091332,0.4435308686878001,0,1889.253878732081,0.08693481944932227
-145.37338221799786,115.08883420731057,0.2353418853260843,1.212935245791139,0.4855875707004993,0,1889.253878732081,0.08003695079842615
-146.580428174129,117.49614102178792,0.2434279815492353,1.2152276762539682,0.5328739998824301,0,1889.253878732081,0.08106202066152732
-149.1808817013266,129.15612057924423,0.2644501237343007,1.226748899144977,0.6089258558177746,0,1889.253878732081,0.08523574551855928
-150.656476174163,122.89513770693168,0.25352629344756483,1.221447046177295,0.5711277378846318,0,1889.253878732081,0.08916135020827137
-151.99295059309856,138.88191304446707,0.2822978647100821,1.2349439134841909,0.6751666240343426,0,1889.253878732081,0.08779307449580104
-155.98664490607223,153.72467287384558,0.3074337170537909,1.2456503083334982,0.7591844931762184,0,1889.253878732081,0.08765987671273592
-158.1637754836121,164.80042204564307,0.31914270228740715,1.2491377504901733,0.7657311513508391,0,1889.253878732081,0.0902834199708103
-161.99647083553697,198.66154625484188,0.3708005183368355,1.2645757302585405,0.9174142871497679,0,1889.253878732081,0.10527359829710156
-163.12592537763163,193.56366727549278,0.3632706908188689,1.2633681750484547,0.896261715697716,0,1889.253878732081,0.0837214787022176
-166.07126233786806,206.63030687299357,0.38315648731707297,1.2707982881465032,0.9550847791763348,0,1889.253878732081,0.08502895603660152
-167.70336424546866,219.17043413502608,0.3963191415977226,1.2712625336407857,0.9677026608943864,0,1889.253878732081,0.11643414575855833
-172.21985276743087,238.81700922808412,0.42106482414465285,1.277403511111109,1.0204166636702432,0,1889.253878732081,0.0805516996003254
-177.67614176723572,243.18782321417643,0.42994394151112697,1.2793446849496715,1.0567246202424163,0,1889.253878732081,0.08852025862673377
-180.71509786774553,261.87467324319186,0.4514829390602293,1.2838595423116521,1.094113137706327,0,1889.253878732081,0.09587243009792992
