f32,f16,bf16
0.00042626933640477205,0.005732751651468249,-0.02844693584853175
0.0012520327835092715,0.0032890811233530215,-0.06116404387664698
0.0009805723082076945,0.0017761751066696085,-0.03728632489333039
0.000978350201556566,0.004029392758319261,-0.05065810724168074
0.001593063132469208,0.0064968564674301454,-0.046237518532569855
0.0030507541169955132,0.00479740862749356,-0.06160884137250644
0.00032448244054084086,0.0061387963290906455,-0.030970578670909354
0.0015263303462202948,0.0092479928675826,-0.0220020071324174
0.002224574865354878,0.00307477551843105,-0.03208147448156895
0.002461026410133016,0.0022183162966076253,-0.025125433703392375
0.0028903229936014796,0.006388400386179605,-0.005330349613820395
0.002412422809471515,0.0018497549627918275,0.0057560049627918275
0.0018449145487733354,0.006108553998846578,-0.05639144600115342
0.002881686420439067,0.006840388507841411,-0.04003461149215859
0.0010010012997061501,0.006139875353661228,-0.03487574964633877
0.0013955320781371405,0.0031583990520140937,-0.057388475947985906
0.0003017375151137536,0.005700964657447738,-0.07437716034255226
0.0015687789866971613,0.0055746879527616144,-0.056925312047238386
0.0009160789499151889,0.006650045777307767,-0.04413120422269223
0.001409950731998677,0.0031508831965982864,-0.047630366803401714
0.001875618030667603,0.011425235798001587,-0.05888726420199841
0.003578278386502376,-0.0004900962472866865,-0.08642759624728669
0.0008388871714091195,0.0035010690256571664,-0.047280180974342834
0.002445722883489765,0.004094148939397968,-0.007624601060602032
0.00028500927509700347,0.005315164456981769,-0.04741921054301823
0.0010121235103692783,0.004648960515984513,-0.030507289484015487
0.001187053171316954,0.0035006670629185166,-0.04337433293708148
0.001147357161574547,0.005157557662062828,-0.03781119233793717
0.0006514922091329645,0.0088356867739523,-0.0438986882260477
0.0021557040273636474,0.0007700152456253662,-0.08516748475437463
-0.00018087094581797913,0.008220999781721083,-0.030841500218278917
0.0008114009679154321,0.0021649032414750025,-0.040803846758525
0.0010904469964070351,0.0041855969903035195,-0.05245502800969648
0.001513582171678074,-9.335905146645729e-05,-0.04306210905146646
0.001824527579989521,0.00011029799624928671,-0.08192095200375071
0.0014567527809186132,0.011765972141270176,-0.019484027858729824
0.0017597734633287843,0.0044806062880358155,-0.038488143711964184
0.0028222896272271925,0.009234318893584614,-0.006390681106415386
0.0007692854645364733,0.006170896792661473,-0.06804785320733853
0.001526320198414588,0.007466757515309119,-0.02768949248469088
0.0032285808589289644,0.005076324846966074,-0.022267425153033926
0.003153054242128306,0.003047196393007212,-0.012577803606992788
0.004035065319877518,-0.0014561913939896698,-0.0014561913939896698
0.0032651559806318176,0.008763088414713849,-0.05373691158528615
0.0026650879283787177,0.008502528419101374,-0.050091221580898626
0.003408977864405749,0.006118366597315905,-0.040756633402684095
0.0020386086033328255,0.00237954717144806,-0.03277670282855194
0.0020760196122333596,0.0036710399064228127,-0.00023521009357718725
0.0002709229757251741,0.00630362828273201,-0.05424324671726799
0.0011810003325720686,0.002411240200736131,-0.06399500979926387
0.0010899550496192845,0.004859829622373191,-0.0029526703776268093
0.0012299209273258782,0.0073649078047672845,-0.016072592195232716
0.001559684327667732,0.008364150575226326,-0.06976084942477367
0.0029717814088918715,0.0067521463991262465,-0.07137285360087375
0.0007243363042501727,0.0021429268499044696,-0.09160707315009553
0.001986976611038749,0.007995124804398124,-0.019348625195601876
0.001115124572310222,0.005257170547041667,-0.024039704452958333
0.0013662660555793238,0.006286748691077371,-0.03277575130892263
0.002325767887207064,0.00495886267480472,0.00495886267480472
0.0018321815560886634,0.0031101051400730384,-0.04767114485992696
