Sigma,N_therm,E_mean,E_error,E_heis_mean,E_heis_error
0.0,1024,-34.03343210555583,1.9617350115033352e-05,-22.615829028873335,0.015332211599259283
0.0,2048,-34.033437861192894,1.9614342680463645e-05,-22.615254462196834,0.01533413056970955
0.0,4096,-34.03344106604453,1.9620079100534948e-05,-22.616279577603358,0.01533856878766876
0.0,8192,-34.033439011215364,1.9628439956969974e-05,-22.614256398551383,0.015339828768635122
0.0,16384,-34.03343900954471,1.962273087273687e-05,-22.620746508813525,0.015344394488881304
0.0,32768,-34.03344470173196,1.96308981012848e-05,-22.61300132024556,0.015354443878158586
0.0,65536,-34.03344799850458,1.9574285843846422e-05,-22.637842524634095,0.015304526186825974
0.0,131072,-34.03343241839296,1.957223402799759e-05,-22.64259245319989,0.015363516003652941
0.0,262144,-34.03341287397643,1.9588896617941323e-05,-22.647781983629663,0.015307319667398636
0.0,524288,-34.03343400720459,1.955730430167677e-05,-22.656142983353835,0.015263522147545214
0.001,1024,-34.03341884209415,1.9625387589107215e-05,-22.62134333612409,0.015341533765452454
0.001,2048,-34.03342514189208,1.9623885841832076e-05,-22.622282265450863,0.015345297685171927
0.001,4096,-34.0334279687173,1.963547390463586e-05,-22.62230383945988,0.015350645605494354
0.001,8192,-34.033425447104165,1.9633855053069696e-05,-22.620876032605075,0.015355206378569235
0.001,16384,-34.03342971302738,1.9625351508480613e-05,-22.624534258939097,0.015362868380433579
0.001,32768,-34.03343921050329,1.9630506224436468e-05,-22.616571926233508,0.015368170983030466
0.001,65536,-34.033449012748044,1.954859889576867e-05,-22.643845654708905,0.015321565339898233
0.001,131072,-34.03343731945334,1.9530933255670068e-05,-22.6463002738236,0.0153625227647482
0.001,262144,-34.03340038483685,1.958281409663789e-05,-22.64558684512255,0.015315129606152994
0.001,524288,-34.03342702886111,1.957125553229293e-05,-22.644968834695604,0.01527412797211427
0.00206913808111479,1024,-34.03344683727623,1.9630678299928103e-05,-22.627771543681916,0.015347818628640115
0.00206913808111479,2048,-34.033451774844465,1.9632306249912505e-05,-22.62809553212749,0.015349975763859767
0.00206913808111479,4096,-34.03345247938394,1.964271292459529e-05,-22.627938847421383,0.015350333470862143
0.00206913808111479,8192,-34.03345391350488,1.9634335616867755e-05,-22.625511258217813,0.015350634449901956
0.00206913808111479,16384,-34.03345803395414,1.9635890923088515e-05,-22.62489150357164,0.015345730061280854
0.00206913808111479,32768,-34.033457253059595,1.963192117286376e-05,-22.616628006210075,0.015348440007413033
0.00206913808111479,65536,-34.03347413901194,1.9555843443532886e-05,-22.639315880991475,0.01527359788738356
0.00206913808111479,131072,-34.03343750773895,1.956730698398195e-05,-22.650652508324633,0.015301878439364683
0.00206913808111479,262144,-34.03338831470293,1.9572434699083158e-05,-22.65767969193596,0.015297061934751338
0.00206913808111479,524288,-34.033435753696935,1.9563927110016632e-05,-22.636526433270106,0.015292075076642285
0.004281332398719396,1024,-34.03344079613784,1.961507257899732e-05,-22.617250532302407,0.015381575811534529
0.004281332398719396,2048,-34.0334421763705,1.9625146719174278e-05,-22.61776824852934,0.015386881642827362
0.004281332398719396,4096,-34.03344137252073,1.964180972373041e-05,-22.616866432852063,0.015389881509235384
0.004281332398719396,8192,-34.03344377519058,1.9635132487621315e-05,-22.61531469541461,0.015397974834352327
0.004281332398719396,16384,-34.03344441381216,1.9623723447224356e-05,-22.61809218443225,0.015393694988780769
0.004281332398719396,32768,-34.03345218532383,1.9662314772184486e-05,-22.59975578331981,0.015397594515590043
0.004281332398719396,65536,-34.03342956657999,1.9597737120173384e-05,-22.61978706737763,0.015354450864513399
0.004281332398719396,131072,-34.0334184765302,1.957315009764096e-05,-22.633741754314183,0.015357766742869136
0.004281332398719396,262144,-34.03340060659252,1.9609064859753146e-05,-22.64766738259528,0.015308863547614559
0.004281332398719396,524288,-34.03343649380814,1.951446812661893e-05,-22.64850214777084,0.015240343611329974
