Sigma,N_therm,E_mean,E_error,E_heis_mean,E_heis_error
0.0,1024,-96.66783519026319,5.7592974480720394e-06,-18.561007684203013,0.020035998938641136
0.0,2048,-96.66783500036297,5.759153765096984e-06,-18.55797251547519,0.020034134372496095
0.0,4096,-96.66783614004042,5.7578176756794475e-06,-18.56040132472559,0.02003899365778869
0.0,8192,-96.66783472911646,5.761460835629382e-06,-18.54916109070619,0.02004062818377824
0.0,16384,-96.66783354990415,5.758572350999322e-06,-18.5606949539865,0.02005694137961039
0.0,32768,-96.6678308532829,5.762558222088107e-06,-18.57887093478488,0.0200986439781822
0.0,65536,-96.66782852524496,5.780194650566221e-06,-18.58475075064526,0.020105280673103628
0.0,131072,-96.66782290017984,5.7809414275664105e-06,-18.57790640655782,0.020082512552199432
0.0,262144,-96.66783365637721,5.767890814623027e-06,-18.543938577834275,0.020061977073980684
0.0,524288,-96.66782955690677,5.7642964176489315e-06,-18.545647380495964,0.02001160718652378
0.001,1024,-96.66783318817575,5.764326194746234e-06,-18.557106910580018,0.020081429967924058
0.001,2048,-96.66783296459926,5.764862382987552e-06,-18.554566656612288,0.020080883994439237
0.001,4096,-96.66783411154219,5.7646678284531e-06,-18.558071381814173,0.020082873166790662
0.001,8192,-96.66783305567728,5.768708309765147e-06,-18.546033962780346,0.020086944034113405
0.001,16384,-96.66783305707067,5.762946077475894e-06,-18.556863820983843,0.020083366655852038
0.001,32768,-96.66782815581138,5.76208258261738e-06,-18.57339738992296,0.020122931707503528
0.001,65536,-96.66782525209192,5.7615507518404e-06,-18.573264337609043,0.020114944296220443
0.001,131072,-96.66782057987248,5.76709341332459e-06,-18.57401699786208,0.02003620163879984
0.001,262144,-96.66783023557927,5.774287524122107e-06,-18.549767263246263,0.020055914004449192
0.001,524288,-96.66782746152646,5.78022964688195e-06,-18.535199144793864,0.020004194160404987
0.00206913808111479,1024,-96.66783509718007,5.757819109024906e-06,-18.55793497580463,0.020105165437962574
0.00206913808111479,2048,-96.66783530803305,5.757631236478496e-06,-18.55785954847243,0.020111310449276686
0.00206913808111479,4096,-96.66783570052586,5.75963550320779e-06,-18.557950859831728,0.020107680408941446
0.00206913808111479,8192,-96.66783543041944,5.764134952089234e-06,-18.546293704684885,0.020101665469824424
0.00206913808111479,16384,-96.66783593321838,5.761631500063441e-06,-18.560284644632937,0.02010245354385578
0.00206913808111479,32768,-96.66783471291377,5.767545499093552e-06,-18.570676046744452,0.02014010224470507
0.00206913808111479,65536,-96.66783306166818,5.776957353609821e-06,-18.563954685153604,0.020132642965494944
0.00206913808111479,131072,-96.66782819279621,5.772327450162738e-06,-18.58091214239971,0.020048810465099164
0.00206913808111479,262144,-96.66782466641149,5.771307465872076e-06,-18.538649111838474,0.020040785941526865
0.00206913808111479,524288,-96.66782688658864,5.759525332174737e-06,-18.545671009841087,0.020057764006952267
0.004281332398719396,1024,-96.66782922570147,5.758875748094532e-06,-18.55548943497943,0.02008975642623678
0.004281332398719396,2048,-96.66782994206008,5.760000916234307e-06,-18.55609061034565,0.020093921427583507
0.004281332398719396,4096,-96.66782896685365,5.762928392806408e-06,-18.55328978304111,0.020098883392911736
