Sigma,N_therm,E_mean,E_error,E_heis_mean,E_heis_error
0.0,1024,-57.14880847779058,1.0487729766071364e-05,-20.207734067950227,0.01838054743026547
0.0,2048,-57.148809007855824,1.04857343219672e-05,-20.207449686319187,0.018380725592692496
0.0,4096,-57.14881009362044,1.0489652109521549e-05,-20.2072036943568,0.018389859977010457
0.0,8192,-57.148810620336135,1.0484452809654472e-05,-20.205250445265733,0.018396033161837452
0.0,16384,-57.14881387820142,1.0475720306733736e-05,-20.198238868791318,0.018391923011682777
0.0,32768,-57.14881472265676,1.0478007106597114e-05,-20.19055062199286,0.018385727046908874
0.0,65536,-57.14881583960597,1.0490709696824487e-05,-20.192263437810333,0.01831927269316842
0.0,131072,-57.14881551009387,1.0488538837507108e-05,-20.165751231679334,0.018370570761670348
0.0,262144,-57.148801681295666,1.0480940524039826e-05,-20.15856657136791,0.018292622052421412
0.0,524288,-57.14881440688887,1.0465513174796752e-05,-20.18611979869638,0.018399461509504677
0.001,1024,-57.14880759589019,1.0485223898527913e-05,-20.203711668224276,0.018342230094145213
0.001,2048,-57.14880711605478,1.048384661470773e-05,-20.204676302811972,0.01834273367179437
0.001,4096,-57.148808913127404,1.048606105336114e-05,-20.20526449854596,0.018353426928408897
0.001,8192,-57.14880867645711,1.0489245535310202e-05,-20.20540781330958,0.01836425980716065
0.001,16384,-57.148811182271785,1.049231631259055e-05,-20.197252274504713,0.01836762990109828
0.001,32768,-57.14881326335744,1.049146298403862e-05,-20.192537695771744,0.01837287855248232
0.001,65536,-57.148816093562246,1.0502924825663624e-05,-20.2023879137429,0.018342387367311176
0.001,131072,-57.14881544531276,1.049941527411939e-05,-20.175484304992608,0.018411813219882958
0.001,262144,-57.148814792175685,1.0451117709975387e-05,-20.16193191353891,0.01829021924930878
0.001,524288,-57.14881132562194,1.0502910598471955e-05,-20.187260212924137,0.018350308587110557
0.00206913808111479,1024,-57.148807533498676,1.0502470671216457e-05,-20.19012560573527,0.018317284408592333
0.00206913808111479,2048,-57.14880521000399,1.0502719049111147e-05,-20.190570592174453,0.018319205078822367
0.00206913808111479,4096,-57.14880666279987,1.0504467117889389e-05,-20.18906579344928,0.018328851415317555
0.00206913808111479,8192,-57.14880826104779,1.0502849053393867e-05,-20.18482033582147,0.018335933843940475
0.00206913808111479,16384,-57.14881152347688,1.0496618974246559e-05,-20.17972564361748,0.018350141423928247
0.00206913808111479,32768,-57.148811243406726,1.0496090913482157e-05,-20.178821002133827,0.018346916409761185
0.00206913808111479,65536,-57.14880798504626,1.0498857760520545e-05,-20.185215128556585,0.018327973820368895
0.00206913808111479,131072,-57.14880441035735,1.0492141507796185e-05,-20.172136906207385,0.01839842555611152
