L,J,h,energy
128,1.0,0.5,-136.13252456431016
64,1.0,0.5,-68.06684186376214
64,1.0,1.0,-81.49527899874947
32,1.0,0.5,-34.03342074461414
16,1.0,0.5,-17.01671249634737
16,1.0,1.0,-20.404594474756628
