# ╭───────────────────────────── Timing Information ─────────────────────────────╮
# │ Total: 3972.550                                                              │
# │ └── (99.6%) | LPE_VMC._forward_and_backward : 3955.405 s                     │
# │     ├── (2.2%) | MCState.sample : 88.685 s                                   │
# │     │   └── (54.6%) | sampling n_discarded samples : 48.396 s                │
# │     └── (7.1%) | AbstractLinearPreconditioner.__call__ : 280.677 s           │
# │         ├── (1.3%) | QGTOnTheFly_DefaultConstructor : 3.554 s                │
# │         └── (98.6%) | LinearOperator.solve : 276.667 s                       │
# ╰──────────────────────────────────────────────────────────────────────────────╯
Mean,Variance,Sigma,R_hat,TauCorr,iter_per_sec,total_time,Condition_number
-31.99407808790645,64.12824912040716,0.016700783243647974,,0.0,-1,3972.5504696739954,1078.3045152626078
-33.01716801345947,62.980624919974076,0.027921899896677746,,0.3112652927980084,-1,3972.5504696739954,1159.704575531952
-34.305939583992384,60.510482530123674,0.021941102264924336,,0.021394202375673133,0,3972.5504696739954,1214.7991211880637
-35.53819832679001,58.13152247276366,0.021908427352730808,,0.041116330638370946,0,3972.5504696739954,1278.1526746545337
-36.667219872558434,55.30055614947922,0.017917102566829293,,0.0,0,3972.5504696739954,1333.77053697815
-37.79659845836774,52.46001517041556,0.020282961025827082,,0.01394214300320551,0,3972.5504696739954,1346.025507894787
-38.861735548562294,50.091930577107874,0.02282926672213288,,0.1818613671040934,0,3972.5504696739954,1339.7890270610003
-39.82951765387667,47.81508402263049,0.017686283092926337,,0.0,0,3972.5504696739954,1303.6725464118192
-40.78886877104559,45.65328879669248,0.019197827595612536,,0.02906865970167405,0,3972.5504696739954,1253.9336757021997
-41.65708329615604,43.666604639181614,0.01733872640911035,,0.0,0,3972.5504696739954,1202.817067505107
-42.50071989108595,41.89062137421779,0.017577778037666306,,0.0,0,3972.5504696739954,1155.8422447078083
-43.31754736499127,40.116041046946705,0.022744039903579174,,0.3450785546945957,0,3972.5504696739954,1103.5733061291273
-44.048409728047275,38.64856425797858,0.01614738088356198,,0.0,0,3972.5504696739954,1067.301413657916
-44.74802124804488,36.66111305379586,0.017422293932667237,,0.04260645669530472,0,3972.5504696739954,1036.8569136852516
-45.4048403083824,35.3149921518058,0.01567038061334655,,0.0,0,3972.5504696739954,1016.2367022085357
-46.09086224492627,33.74559240581981,0.017130361853113354,,0.06989644488213398,0,3972.5504696739954,996.6749534515756
-46.66344010353626,32.433625047983284,0.017537866961496205,,0.12149549007532812,0,3972.5504696739954,995.2690457429723
-47.289836193832045,31.191221559587277,0.016570204117360526,,0.07690361917071808,0,3972.5504696739954,1018.4078808120432
-47.8035926254442,30.095058889922072,0.016053621880511952,,0.06121696693784784,0,3972.5504696739954,1047.842791456665
-48.31180440345537,28.903028309719655,0.017763024741052864,,0.2154353973206239,0,3972.5504696739954,1089.1774137498624
-48.83115562049703,27.672067640660778,0.015460527684516863,,0.0660919062857318,0,3972.5504696739954,1157.0568283030696
-49.323914309646874,27.0373588681801,0.014637177181819509,,0.019314351936931984,0,3972.5504696739954,1201.038925159954
-49.77339999536633,26.02965416874068,0.018101342751449274,,0.32496042731842967,0,3972.5504696739954,1267.9925806668482
-50.23189473976963,24.94668311205202,0.01389672431511571,,0.0073317055197200665,0,3972.5504696739954,1341.2029063329892
-50.643525130276714,24.309150389401736,0.013585170806172603,,0.0,0,3972.5504696739954,1414.7936785771672
-51.046737124182194,23.130149505880688,0.016467346460790892,,0.26833167274055203,0,3972.5504696739954,1507.7648443521286
-51.417248719407254,22.55997649864478,0.015060745237671834,,0.15892230980646993,0,3972.5504696739954,1588.125130286161
-51.831410244947975,21.947096867919665,0.01333290532882528,,0.03082631085422527,0,3972.5504696739954,1705.4653365436238
-52.18654596314643,21.21865140548054,0.015658764250505386,,0.2573159853852689,0,3972.5504696739954,1787.1499219375232
-52.542337475990976,20.555595607465253,0.012917090525578172,,0.03196036076112607,0,3972.5504696739954,1894.7881482423525
-52.84552817797863,19.975783974459283,0.011488762722301924,,0.0,0,3972.5504696739954,2016.907893081711
-53.19252970014345,19.49601245521716,0.013085238348575855,,0.07556902332144855,0,3972.5504696739954,2162.8838985896828
-53.504056497405664,18.798886349410694,0.012724071250862775,,0.06441687910674254,0,3972.5504696739954,2243.416725012507
-53.81357712639657,18.33409976310934,0.01584029747012456,,0.39690615964426224,0,3972.5504696739954,2422.1459121824573
-54.11614308327171,17.91375680906461,0.013328954200919368,,0.14995817107108034,0,3972.5504696739954,2579.4557117680097
-54.39698091912044,17.33551462366887,0.012813859408058959,,0.12073052287330388,0,3972.5504696739954,2757.651747820724
-54.69514472519276,16.94558835232066,0.012898972537041616,,0.1434777204847416,0,3972.5504696739954,2936.439110333093
-54.92733012537235,16.353065992682907,0.010306966938172688,,0.0,0,3972.5504696739954,3075.2907443759627
-55.203567831827584,15.942160235950034,0.01060228097549245,,0.0,0,3972.5504696739954,3255.183815942378
-55.44944534372636,15.515451153514167,0.012432641121761666,,0.1528934585798416,0,3972.5504696739954,3504.3614090378137
-55.689395725468486,15.189279346860499,0.014097062290786996,,0.35743261435419793,0,3972.5504696739954,3663.976537767583
-55.96322086972911,14.750459393429143,0.014129303412284456,,0.3869842062403148,0,3972.5504696739954,3881.580815101579
-56.187670443134344,14.30552530716167,0.013962436166938893,,0.39309677663115516,0,3972.5504696739954,4079.498195198021
-56.43579690271556,14.071530130586886,0.013579005642052328,,0.3587654098672919,0,3972.5504696739954,4419.316135298697
-56.62830490070532,13.725120756738004,0.010199141389244746,,0.0,0,3972.5504696739954,4583.180725970471
-56.850612515128574,13.421338931889355,0.014122848365094129,,0.4739320979884758,0,3972.5504696739954,4886.576357997688
