# ╭───────────────────────────── Timing Information ─────────────────────────────╮
# │ Total: 41.471                                                                │
# │ ├── (86.6%) | LPS_VMC._forward_and_backward : 35.927 s                       │
# │ │   ├── (66.4%) | MCState.sample : 23.861 s                                  │
# │ │   │   └── (54.8%) | sampling n_discarded samples : 13.064 s                │
# │ │   ├── (6.1%) | MCState.expect_and_grad : 2.205 s                           │
# │ │   └── (25.7%) | AbstractLinearPreconditioner.__call__ : 9.233 s            │
# │ │       ├── (7.7%) | QGTOnTheFly_DefaultConstructor : 0.709 s                │
# │ │       └── (91.1%) | LinearOperator.solve : 8.410 s                         │
# │ └── (1.7%) | loggers : 0.685 s                                               │
# ╰──────────────────────────────────────────────────────────────────────────────╯
Mean,Variance,Sigma,R_hat,TauCorr,iter_per_sec,total_time
-99.67603024660816,175.04933650718084,1.272519132808933,1.15571303334838,0.09203604219942763,-1,41.471202063024975
-101.83696730665596,201.26307904207252,1.2181158652691177,1.134264293307685,0.0,-1,41.471202063024975
-100.38489302798398,228.09720247190953,1.5049481334388857,1.1194311565923938,0.13548174649659228,-1,41.471202063024975
-100.13916601572177,176.259014141894,1.4000027666763308,1.1854848293695215,0.21168272669393717,18,41.471202063024975
-102.25887694592933,254.3011278421521,1.7051848071377,1.1538593590677622,0.23176999282156308,18,41.471202063024975
-99.12721747988802,185.0853331002325,1.3073032110589429,1.1409987133885018,0.09096345479761869,18,41.471202063024975
-102.93029876328819,164.57032899921816,0.9124652544945172,1.0772512754686245,0.0,24,41.471202063024975
-99.09859439343812,189.23095861212127,1.2248743030148568,1.149069554710948,0.00742379803048665,24,41.471202063024975
-100.52221713071842,261.44681712619297,1.6232232069832384,1.113543003296129,0.1449901779400875,24,41.471202063024975
-100.18757412790706,150.85438162049232,0.8919918414026792,1.0922016438905144,0.0,26,41.471202063024975
-100.71797774155728,172.5587447779729,1.2803522771125841,1.1448974498119435,0.10799772946577857,26,41.471202063024975
-100.85815103298609,182.75226620128677,1.0474609641781585,1.1287181785856844,0.0,26,41.471202063024975
-100.75939944715587,173.63367114138663,0.9715321653444003,1.1320067141182775,0.0,27,41.471202063024975
-101.85377074244735,209.25868234167697,1.0483821719677886,1.128867843248394,0.0,27,41.471202063024975
-101.4898067513331,148.92233989258227,0.8872554253982201,1.1026737719660364,0.0,27,41.471202063024975
-101.30536970860516,185.12724302018154,1.1750865086373785,1.0930491318216837,0.0,27,41.471202063024975
-103.29646512222297,175.9302039486825,1.1921191895307517,1.1447493225659588,0.01698617025174165,29,41.471202063024975
-102.2240808206123,193.256649235679,1.0901123961993748,1.1179240789957412,0.0,29,41.471202063024975
-102.28808196254155,191.64824838003295,1.4411250386754257,1.1436503236251956,0.19355107212173184,29,41.471202063024975
-100.1560119480453,172.07912450135714,1.0815424302569838,1.0864990509369261,0.0,29,41.471202063024975
-102.07214482872767,221.93572761400165,1.277019990553611,1.1263631933947105,0.0,30,41.471202063024975
-100.87281910879523,162.6735510924804,1.1944460787999351,1.1343516089756134,0.06130139925675582,30,41.471202063024975
-102.13174666208127,205.69567071765957,1.2396514312292106,1.1470603501143695,0.0,30,41.471202063024975
-101.10149692952416,202.81363543408827,1.355794206042175,1.1224119109122914,0.08005659832982259,30,41.471202063024975
-103.18591241114412,251.46807558333697,1.3794301864608352,1.1261772602088178,0.0,30,41.471202063024975
-102.82451575030375,171.01054732130828,1.321344696943799,1.1804635280766071,0.1534153446752512,30,41.471202063024975
-101.78830825763706,187.42890980702754,1.0668088902075576,1.117517952447063,0.0,30,41.471202063024975
-100.03891503029018,178.4315222826918,1.1430983799669603,1.14495040568714,0.0,30,41.471202063024975
-103.75896948008634,193.99930736738943,1.348138027806457,1.1166906671840706,0.0995818988614452,29,41.471202063024975
-102.3004298906358,179.26566086227447,1.2992618915743108,1.1251167251518395,0.10266541347495883,29,41.471202063024975
-104.1716431793935,146.66332469998125,1.0283824886685635,1.0867599832521104,0.0,29,41.471202063024975
-101.8116684731512,196.30239398751758,1.3061622865104436,1.1479559952677978,0.05622263477786826,29,41.471202063024975
-103.6022180240369,193.28398387137486,1.0984183667499603,1.1105198114483428,0.0,29,41.471202063024975
-103.23767057204623,162.94643798523958,1.061391285343462,1.0607429364236176,0.0,29,41.471202063024975
-102.78460486003159,238.9711498667359,1.6350336834399752,1.1689616276878902,0.21595859767315972,29,41.471202063024975
-104.19266888972838,218.49717111037734,1.3404989778826442,1.1089394615716914,0.02634091341615763,29,41.471202063024975
-101.64858461131053,176.68341631004853,1.2373795912290617,1.1038274297074473,0.0546130487233496,29,41.471202063024975
-103.79212627285642,236.54559731428384,1.7517231404181561,1.1666481261230606,0.33022544369052953,29,41.471202063024975
-103.70562937193947,188.14418531356637,1.351311812614925,1.091600854912937,0.12115547796300552,29,41.471202063024975
-102.6440848226275,189.8705238880999,1.2614615877193334,1.140082863835873,0.03637741920735993,29,41.471202063024975
-103.78188679504578,172.91781031209007,1.323385903705807,1.1740658655411287,0.14820631146001884,29,41.471202063024975
-104.98157465508154,197.74252098967185,1.2699670546115078,1.0978348842315475,0.021993165407775073,29,41.471202063024975
-100.78353887255508,178.68831934634628,1.0808552890937577,1.0696799161448474,0.0,30,41.471202063024975
-108.23305822564403,145.3415469906381,1.1356041188194517,1.1521247536719044,0.06786370757989313,30,41.471202063024975
-102.68267488225953,192.351948799223,1.0473640659791252,1.087424179274201,0.0,30,41.471202063024975
-104.41663917248906,197.60418600455031,1.2610024935496393,1.178266982067165,0.015010074113079086,30,41.471202063024975
-102.68003714263315,199.99896723767694,1.2700459960887134,1.111396229182888,0.016168051692491914,30,41.471202063024975
-104.96175094685194,189.7994804185662,1.0365895743210476,1.0747639700945733,0.0,30,41.471202063024975
-105.81326539075033,199.52597737837044,1.2246262983020515,1.1201274501467957,0.0,30,41.471202063024975
-103.95141730737689,178.7610741195362,1.2960629017396483,1.1334812724495829,0.10139412020495397,30,41.471202063024975
-103.10840892574214,176.35163763025804,1.0457799382076338,1.140386114708161,0.0,30,41.471202063024975
-103.42565952037755,169.27700042497588,1.0454424859638651,1.1105814112388137,0.0,30,41.471202063024975
-104.70354464230516,141.898430267338,0.8613433737490824,1.1346942704686693,0.0,30,41.471202063024975
-104.93207307535084,157.19509261758083,1.134881930880446,1.1126093105172183,0.024375452426003585,30,41.471202063024975
-105.78748427183288,139.41005332233198,1.1188918116442033,1.1595902999435908,0.07472762404926081,30,41.471202063024975
-105.47722949753273,182.36457107764073,1.4563352836516534,1.1702790058799986,0.24432438568547166,30,41.471202063024975
-106.50608390161878,227.8727130276188,1.1821834082710225,1.0915845344339097,0.0,30,41.471202063024975
-102.99993006678953,193.65811052597996,1.1059497588772729,1.0978866336647266,0.0,30,41.471202063024975
-105.35973772755608,153.91501852175008,1.0858560486225717,1.1270429835132743,0.0,30,41.471202063024975
-105.37476011819305,154.52122718104297,1.2516998419246244,1.1126061776376694,0.148921584838707,30,41.471202063024975
-104.07441360148476,185.13839083792303,1.2544846237115004,1.1287202569688581,0.04401913345137798,30,41.471202063024975
-106.3955901478931,182.57705754945195,1.3889786438943723,1.1316615405944828,0.17627745096622727,30,41.471202063024975
-105.5111457856052,152.69850658898793,1.0670989743243153,1.1415727380261083,0.0,30,41.471202063024975
-105.65376021644832,183.17221826966676,0.9555610561642258,1.0613712021492991,0.0,30,41.471202063024975
-107.8275078515681,167.10265855696778,1.2125301938261914,1.1615240164848881,0.06309508749134185,30,41.471202063024975
-106.57854561450566,222.69856239381573,1.4432634031493454,1.164017854608,0.09862349636522294,30,41.471202063024975
-107.07031350142499,181.14018311371933,1.2051485808340086,1.1492941092432465,0.013152393482803615,30,41.471202063024975
-104.85666293491914,183.28069442033626,1.140710578738099,1.1162615950831185,0.0,30,41.471202063024975
-108.30551229442227,205.44416969801932,1.1264242754506426,1.1169411519062855,0.0,30,41.471202063024975
-104.65430154573293,195.23819158620736,1.3788564733004383,1.1176891497223223,0.12323713483011745,30,41.471202063024975
-107.65511579561459,132.70209762350206,1.188911255565315,1.1461579425193325,0.1817121954446902,29,41.471202063024975
-107.32823378092147,147.02634525264847,1.0393835339806134,1.1013981462485072,0.0,29,41.471202063024975
-109.40564133664273,166.74031621807097,1.3042540772121454,1.1223935947486865,0.15292569389627508,29,41.471202063024975
-105.94593380216487,176.79850461072013,1.562204442430939,1.1624207080373825,0.3834401310167579,29,41.471202063024975
-109.43020739771468,173.15833943895746,1.2035901622500988,1.1418712308957708,0.035419051343220875,30,41.471202063024975
-108.26352752264384,172.16274909332384,1.1580005367137065,1.1270840329701437,0.0,30,41.471202063024975
-108.55222648369954,192.87364912149602,1.3286199441917912,1.1491268536941575,0.08574502896195535,30,41.471202063024975
-107.71232629425478,132.52809766169378,1.0330212507295664,1.1054253579613207,0.015336046396059788,30,41.471202063024975
-106.97533925644692,156.94015246372777,1.089103120055989,1.1379156004489952,0.0,29,41.471202063024975
-108.23586075643313,203.51069125812683,1.2258280726913597,1.1436472319064186,0.0,29,41.471202063024975
-108.94173684553873,192.4523890974176,1.196342161748873,1.1278070936249815,0.0,29,41.471202063024975
-108.7144374751408,185.78555105439676,1.1895566941320117,1.1014194769330483,0.0,29,41.471202063024975
-108.30406718809404,198.9692803917566,1.2945588468038491,1.1241260165377294,0.039060535829745224,29,41.471202063024975
-111.38321758983906,153.44050425940395,1.1872874519546541,1.1493524060099638,0.08796532261060541,29,41.471202063024975
-108.75944372827394,175.90726080782753,1.141266561057421,1.1137153373263757,0.0,29,41.471202063024975
-109.8591531773964,198.04379105498992,1.3518649311076327,1.1220871265129855,0.09058899075950733,29,41.471202063024975
-110.57643906983719,172.5326717238367,1.224817284869624,1.132615629486527,0.056482151727560215,29,41.471202063024975
-110.51520286015676,184.0996481416164,1.3811098752391575,1.1255535098123295,0.1631067926051275,29,41.471202063024975
-111.45997063929806,205.7177559340467,1.4061804046733481,1.149653648522961,0.11516310333347857,29,41.471202063024975
-110.90342040971709,194.82581888128078,1.1664582298395667,1.116302478538308,0.0,29,41.471202063024975
-112.15492459718354,169.43063870735153,1.2523704870214856,1.1233054005877927,0.09245268930477257,29,41.471202063024975
-112.80052123649315,178.362319419142,1.0405085553675923,1.0696061662103786,0.0,29,41.471202063024975
-109.66947633618952,174.84228741846354,1.1281608684302333,1.094514193544166,0.0,29,41.471202063024975
-113.58243927388483,203.3604468003179,1.4397852858424487,1.1081289507240448,0.1523924830244402,29,41.471202063024975
-113.96231067721214,203.1999606001757,1.378048921788709,1.1172906701398888,0.09811628316747034,29,41.471202063024975
-113.77691181589739,161.0025659422958,1.1283056568794594,1.0958457328766593,0.0060584809024580855,29,41.471202063024975
-114.3303639360685,144.09600891874783,1.0287191967903526,1.1128048838226225,0.0,29,41.471202063024975
-114.63185522121515,187.4247679727921,1.5139506470002235,1.1773556260781328,0.28266592791326295,29,41.471202063024975
-115.61264389862289,229.52457548286517,1.5836581764712319,1.1553229113850172,0.19931634003109466,29,41.471202063024975
-116.50208625776827,228.05644392840753,1.7088220978547328,1.1892556458303256,0.3194667353233538,29,41.471202063024975
-116.64724336297047,227.44590514420267,1.6570108378945685,1.1761471657404114,0.2725961677357672,29,41.471202063024975
-117.42205162600949,217.95096940779467,1.4967823194071108,1.1323125232069533,0.15786753937243503,29,41.471202063024975
-117.3514640347826,177.0729126897175,1.3323275046313015,1.1445752945749488,0.14157854167838246,29,41.471202063024975
-116.70281350244579,178.0598365212764,1.1156752087128041,1.084977611548464,0.0,29,41.471202063024975
-117.27516535956138,212.58508223059516,1.403088811354109,1.1756654384159226,0.0926762324100674,29,41.471202063024975
-121.73675157127158,185.92762712726235,1.4186387548040424,1.1333814374408993,0.19275502868803918,29,41.471202063024975
-119.60784554845482,212.61426359030432,1.443771479662549,1.1574201946428917,0.12745775950494942,29,41.471202063024975
-125.8487247507463,187.73099104334204,1.6406286227828637,1.209132588201159,0.41762358909334096,29,41.471202063024975
-127.49239856239788,190.27032599289277,1.40710593396996,1.1740299564629877,0.16598201449024497,29,41.471202063024975
-125.1623068079553,199.84736418287378,1.3890354941524259,1.158336995391263,0.11788583082828363,29,41.471202063024975
-126.65515584933945,196.78434506683055,1.5904254868278713,1.1622851765484077,0.3226518558207906,29,41.471202063024975
-127.84081671564911,224.45644317148393,1.8319002513525917,1.1899389792590933,0.4568669223448256,29,41.471202063024975
-130.08996040987154,232.79110120279506,1.9320147639557652,1.2220206088403365,0.5262058379673449,29,41.471202063024975
-132.45308527438627,204.1231315395679,1.6257796043834156,1.168194730677448,0.32872624642774084,29,41.471202063024975
-138.83539205859336,193.62263476949101,1.8808161669705494,1.2385623613683914,0.6692746838278842,29,41.471202063024975
-139.01778466310714,205.25871584703538,1.7005716625082736,1.2183713164966863,0.40171281600925546,29,41.471202063024975
-137.0887330849344,216.22291107764985,1.652514461590634,1.15601595999224,0.30829296977817433,29,41.471202063024975
-140.31479689792286,189.85684944074387,1.5275865732594622,1.180873246858096,0.2866206972426224,29,41.471202063024975
-145.9070087008861,165.40335581463287,1.3672424949517092,1.1580818870269929,0.22331380443207072,29,41.471202063024975
-145.62852850479987,199.73922475941305,1.534161261531518,1.1872121709283903,0.25415156872674194,29,41.471202063024975
-147.8441669763438,163.62383914784928,1.472025816345956,1.1522490157615477,0.34754789386151297,28,41.471202063024975
-151.87752968064035,115.80622202743979,1.1980494832358501,1.1575598702628591,0.2932271902649759,28,41.471202063024975
-150.2182950835936,138.46752184776665,1.4151054714781368,1.1619227779936223,0.4255708630863906,28,41.471202063024975
-151.96994071658762,138.03162390317107,1.4830465321295343,1.1987354956138745,0.5197904297081748,28,41.471202063024975
-155.295632343739,130.53865924045357,1.2530156956670389,1.169106630208819,0.26975735720203875,28,41.471202063024975
-156.4208358950294,118.57061905001686,1.0840524409830168,1.1278010740230422,0.1343127924089932,28,41.471202063024975
-157.17506144279798,127.38803481367559,1.329674349976671,1.1672972189420399,0.3882637077540423,29,41.471202063024975
-160.3359722203603,93.21172063308148,0.8469237194530885,1.1857121397679067,0.0,29,41.471202063024975
-160.10521689895972,104.7450613942994,1.142247647694608,1.1805327175397937,0.29719939978985865,29,41.471202063024975
-162.42593735480284,82.7607941163439,0.8649750328396094,1.1220453658334033,0.07857873631060663,28,41.471202063024975
-161.9450384189318,94.35660102025311,1.1804594127011252,1.2074881810627844,0.44516973097703294,28,41.471202063024975
-163.3184984145979,75.86317761637264,0.9955353273279935,1.1529669614609015,0.3361078407507444,28,41.471202063024975
-163.83807339017625,66.90414724075151,0.8731267853499897,1.1629560563036692,0.229258596710735,28,41.471202063024975
-162.49782000911452,79.4841512212586,1.0030937818995465,1.196829066784401,0.3101818497000055,28,41.471202063024975
-165.36129188020348,71.26477326652824,0.904050367605476,1.1701334273447423,0.23399029985119035,28,41.471202063024975
-166.3375172849919,51.66647622575003,0.7477781444993448,1.1557776325561386,0.19265451084083474,27,41.471202063024975
-165.71673001910347,63.19928097239573,0.8836672601948709,1.1949200787592205,0.29076122611597743,27,41.471202063024975
-169.09145618907803,77.39344472733201,0.969418552215318,1.1929720097995342,0.2771385456762181,27,41.471202063024975
-167.70951227948962,45.886422699083646,0.7365941766521744,1.1662175821961953,0.2567498346232754,27,41.471202063024975
-170.01706654927295,56.4678040509324,0.7600134381153543,1.179105910690045,0.1546687602385799,27,41.471202063024975
-168.30467478634972,65.71133661519774,0.9723393007927625,1.204645307468676,0.42082129100140275,27,41.471202063024975
-169.5271199278062,57.50231610695716,0.9074477524461004,1.182756910113086,0.4165114497443756,26,41.471202063024975
-169.7470920736676,59.59548423869791,0.8247029471215814,1.1423532389544322,0.23040159702503749,26,41.471202063024975
-170.23696364954048,36.3975541509793,0.6576134977306556,1.1490636372195577,0.26041243536959835,26,41.471202063024975
-171.37778439486684,39.723843826988606,0.7110537155597338,1.1697503501883477,0.3145795978670879,26,41.471202063024975
-171.89529618412428,35.27586437450937,0.6046967458185435,1.1612308176081334,0.16340321624370702,26,41.471202063024975
-171.74484999831628,50.028741589274595,0.8373271186400102,1.1821325936783385,0.3969138060562091,26,41.471202063024975
-171.8139071091731,38.996001790792974,0.5698437669845899,1.123432369410831,0.03293163008990119,26,41.471202063024975
-172.55570719316984,37.10032588839133,0.6958316326071351,1.173379307112449,0.33523865513120776,26,41.471202063024975
-172.21760250554632,41.06973689059927,0.6333785098348462,1.1202759929758264,0.1251506703953572,26,41.471202063024975
-172.10352990875134,47.1812930611039,0.7794165795007526,1.2023123202254231,0.3240421268507755,26,41.471202063024975
-173.4710509190131,27.61958961964885,0.5626166734360946,1.159836963581196,0.2334794483767052,26,41.471202063024975
-172.74542293882632,31.559014016120614,0.5974367845152785,1.16857802177841,0.22383647739490375,26,41.471202063024975
-174.31959499342705,28.551702731981464,0.6385495388264438,1.2086886364723797,0.4139809667827359,26,41.471202063024975
-175.1592064307157,33.35495641517564,0.6811348254001428,1.1789029645629099,0.39019626511504624,26,41.471202063024975
-174.41158997228362,33.66871691082661,0.6702119674611067,1.1728400511012254,0.35384249364588605,26,41.471202063024975
-174.73214583757064,27.854136381608583,0.5007110934402926,1.1340754201147953,0.07605599836947685,26,41.471202063024975
-175.98226652319858,32.64811013794113,0.6667631627159556,1.1852663799318872,0.3714954479663264,26,41.471202063024975
-175.59594040577872,25.892166823473517,0.5136093570538951,1.1441155936643472,0.15204479412307859,26,41.471202063024975
-175.99314689453035,26.716633825822818,0.5637469717813239,1.2002337932374905,0.2613190200880702,25,41.471202063024975
-175.98931819297476,30.159098249211077,0.43703012969489097,1.1520837827864854,0.0,25,41.471202063024975
-175.8625538889084,29.67445380246309,0.5216268399434245,1.1354771379337139,0.08683647441267484,25,41.471202063024975
-175.36670806416274,28.509179319845078,0.5790668671897223,1.1712395935551014,0.25275333977728376,25,41.471202063024975
-176.0854095358353,25.350890604714348,0.4767527352696171,1.1335557637292337,0.07381664196313376,25,41.471202063024975
-177.13195372375014,24.06188140413514,0.5197186434296855,1.1380451116846844,0.21843417738923365,25,41.471202063024975
-176.89909933718695,13.156729227669636,0.34714883460397244,1.1799630115255284,0.08622381915869781,25,41.471202063024975
-177.07354064542608,19.731331509747314,0.4004260210191866,1.1202452657742887,0.020077618011899445,25,41.471202063024975
-177.31219765887425,19.59284634992149,0.4676051276794439,1.1372560501964408,0.21423474148313593,25,41.471202063024975
-176.85971757982566,24.429123421574825,0.58708417666258,1.1738929119734631,0.4029690001780287,25,41.471202063024975
-177.41703493951022,20.424609373073544,0.4775326491521833,1.1405187224208906,0.21454955724360758,25,41.471202063024975
-177.01498417099413,20.736963667576177,0.4448319058284764,1.1532660751657957,0.11069823757047037,25,41.471202063024975
-177.80134950383592,17.151630107986577,0.3766788058401062,1.166890347189976,0.029440233963289875,25,41.471202063024975
-178.73957155075388,17.947262876796323,0.47947557017411624,1.1371464132179219,0.31981284467758475,25,41.471202063024975
-177.9822175688839,19.613696651273834,0.5100858852337316,1.1940004678205252,0.3489989090892769,25,41.471202063024975
-179.3281029786927,16.33713444470574,0.4202420007602462,1.1835252871043902,0.19183575291278476,25,41.471202063024975
-179.31508154557844,15.884898566930923,0.4495198514449957,1.181316877558982,0.31412910151550355,25,41.471202063024975
-178.258357006329,19.930239375458314,0.5057061025958725,1.1856187208990285,0.32122818861511393,25,41.471202063024975
-178.8394565350475,14.860232846090046,0.41850426806398977,1.157357615291572,0.2543174288663316,25,41.471202063024975
-179.16317738190202,17.04200409838981,0.4358691745606683,1.190247878438965,0.21346327104859142,25,41.471202063024975
-179.39046763705005,19.384377914614372,0.48050595899729165,1.188007451980265,0.2622995470647276,25,41.471202063024975
-179.92065013745707,20.793661434423935,0.49384349679366574,1.202046895276274,0.2506330525794537,24,41.471202063024975
-179.0421315079016,15.971351684702183,0.4489763463725867,1.157314932996498,0.3077653582000809,24,41.471202063024975
-179.5655815646553,19.82273185722532,0.44699433025893,1.1800645565895125,0.1450902778817187,24,41.471202063024975
-179.9422753914941,14.575485948446225,0.4001782995654715,1.2014105569044002,0.2031759358563111,24,41.471202063024975
