dtypes,re_mean,re_error,sigma_mean,sigma_error,acceptance_ref,acceptance_mean,acceptance_error,re_M_x_mean,re_M_x_error,re_M_z_mean,re_M_z_error
f32,1.794926170571886e-08,1.865880026759168e-08,8.953604840304734e-08,7.361355445559741e-11,0.8696776516798645,0.8700054373169085,0.00011590686889320347,2.6978197333318778e-05,1.1741222409605859e-05,2.4678548443381487,2.686198427524243
f16,9.885042582706834e-08,5.4738987492156e-08,0.0004489546899678675,2.687422526037706e-07,0.8696776516798645,0.8693911659304864,0.00010778051502778068,3.229457007843155e-05,1.9116301417728292e-05,2.6683558086971466,2.352014750317296
bf16,9.966342406238767e-08,8.962945502408015e-08,0.0044523489588807535,1.8331816724120842e-06,0.8696776516798645,0.8673783424926763,0.0001256668482570339,5.048894058446841e-05,4.587112360461463e-05,1.65668592253241,2.048813019076598
