dtypes,re_mean,re_error,sigma_mean,sigma_error,acceptance_ref,acceptance_mean,acceptance_error,re_M_x_mean,re_M_x_error,re_M_z_mean,re_M_z_error
f32,4.2365469294965115e-06,2.386152057864157e-06,4.1641591196902444e-07,7.038051642944706e-10,0.9258473112304807,0.9257680079697602,6.162408579005595e-05,1.4746336029867181e-05,1.4052397135305844e-05,2.30689028095489,1.9673759287458128
f16,2.6940269388472892e-06,2.4106064827228014e-06,0.0022099466387779506,2.8847014832222844e-06,0.9258473112304807,0.9254455648312645,5.5657781735253156e-05,2.0321831040941738e-05,1.437722891822178e-05,2.1972277181150606,2.7864135614621635
bf16,3.823286671460665e-06,3.4336596739494955e-06,0.018077750996631867,2.545632022960493e-05,0.9258473112304807,0.9226390615707345,7.368829295756484e-05,3.0152946583540018e-05,2.3362951303860855e-05,1.7919650814971388,0.8747274778666695
