dtypes,re_mean,re_error,sigma_mean,sigma_error,acceptance_ref,acceptance_mean,acceptance_error,re_M_x_mean,re_M_x_error,re_M_z_mean,re_M_z_error
f32,2.289955215843554e-08,1.9407949297898398e-08,8.43889183413793e-08,5.8080154372368045e-11,0.8850077503966982,0.8850478493423964,9.498023963702165e-05,1.7949615991807625e-05,1.021407983154535e-05,2.0751380946923086,2.5044648509740144
f16,7.835579100018493e-08,5.160499241357271e-08,0.0004437547932344022,1.8174315824545115e-07,0.8850077503966982,0.8843608270967792,9.139837799606867e-05,2.0481224604187848e-05,1.78029695830742e-05,1.8959397740139625,1.4609617037837448
bf16,9.987449291708368e-08,8.385078903659524e-08,0.0042450713157456185,1.8072491588663619e-06,0.8850077503966982,0.8822818475505789,8.145602816359288e-05,4.71102037662136e-05,3.694083702522473e-05,1.9473357825278363,2.6219317208083446
