# ╭───────────────────────────── Timing Information ─────────────────────────────╮
# │ Total: 959.227                                                               │
# │ └── (99.6%) | LPE_VMC._forward_and_backward : 955.589 s                      │
# │     ├── (26.0%) | MCState.sample : 248.855 s                                 │
# │     │   └── (55.3%) | sampling n_discarded samples : 137.526 s               │
# │     ├── (1.8%) | expect_and_grad_lp : 17.583 s                               │
# │     └── (72.0%) | AbstractLinearPreconditioner.__call__ : 688.333 s          │
# │         └── (99.8%) | LinearOperator.solve : 686.774 s                       │
# ╰──────────────────────────────────────────────────────────────────────────────╯
Mean,Variance,Sigma,R_hat,TauCorr,iter_per_sec,total_time
-66.00340270996094,258.4702453613281,0.06091846898198128,,0.4409518241882324,-1,959.2265155100031
-69.51193237304688,242.34695434570312,0.059808798134326935,,0.4673251509666443,-1,959.2265155100031
-73.69815826416016,223.20309448242188,0.057067207992076874,,0.4562092423439026,3,959.2265155100031
-77.80116271972656,201.0445556640625,0.05240515619516373,,0.3952321410179138,4,959.2265155100031
-81.22845458984375,182.2371826171875,0.0488547720015049,,0.3583352565765381,4,959.2265155100031
-84.41950988769531,165.6007080078125,0.051108814775943756,,0.5337353944778442,4,959.2265155100031
-87.18218231201172,151.40982055664062,0.037945184856653214,,0.12321692705154419,4,959.2265155100031
-89.4452133178711,140.0856170654297,0.03954552114009857,,0.23161226511001587,4,959.2265155100031
-91.47404479980469,130.68728637695312,0.04379599168896675,,0.46186769008636475,4,959.2265155100031
-93.07320404052734,122.06364440917969,0.04655478894710541,,0.6636500358581543,4,959.2265155100031
-94.63587951660156,114.81788635253906,0.03461919724941254,,0.18407613039016724,4,959.2265155100031
-95.95187377929688,108.87992095947266,0.04319816082715988,,0.6232144832611084,4,959.2265155100031
-97.13697814941406,107.35340881347656,0.03918348625302315,,0.4372819662094116,4,959.2265155100031
-98.28439331054688,104.50009155273438,0.041349198669195175,,0.5722535848617554,4,959.2265155100031
-99.30168914794922,100.73681640625,0.03997484967112541,,0.5395979881286621,4,959.2265155100031
-100.24906158447266,94.39027404785156,0.03431185334920883,,0.3174120783805847,4,959.2265155100031
-101.24398040771484,88.16259765625,0.03536497801542282,,0.42969900369644165,3,959.2265155100031
-102.1036605834961,82.81425476074219,0.036196328699588776,,0.5368211269378662,3,959.2265155100031
-102.99092102050781,76.04541778564453,0.031165029853582382,,0.33703190088272095,3,959.2265155100031
-103.83499145507812,70.23014831542969,0.027690298855304718,,0.2155032753944397,3,959.2265155100031
