dtype,n_samples,KL
f64,1024,0.4277813343723062
f64,2048,0.3663163863798094
f64,4096,0.23633359882854357
f64,8192,0.1657283583222225
f64,16384,0.10642381380666033
f64,32768,0.056105307936304374
f64,65536,0.03480921846559197
f64,131072,0.02394089981131713
f64,262144,0.01360161433481778
f64,524288,0.00784650709326397
f64,1048576,0.004199058313199054
f64,2097152,0.0021114631871505633
f64,4194304,0.0011287924183797692
f64,8388608,0.000555193489819359
f32,1024,0.4277813343723062
f32,2048,0.3663163863798094
f32,4096,0.23633359882854357
f32,8192,0.1657283583222225
f32,16384,0.10642381380666033
f32,32768,0.056105307936304374
f32,65536,0.03480921846559197
f32,131072,0.02396157113887478
f32,262144,0.013574476900087104
f32,524288,0.007920889586275123
f32,1048576,0.004199058313199054
f32,2097152,0.002111488206168353
f32,4194304,0.0011287856894849199
f32,8388608,0.0005551963496616148
f16,1024,0.42760858030003024
f16,2048,0.3574191075118873
f16,4096,0.23855753863318707
f16,8192,0.1607785106146018
f16,16384,0.10683841324525316
f16,32768,0.05551525446427087
f16,65536,0.034279412266665324
f16,131072,0.02410628690238015
f16,262144,0.013545374300919365
f16,524288,0.007957581283105284
f16,1048576,0.004163340212118951
f16,2097152,0.0020811702086691937
f16,4194304,0.0011466469102449617
f16,8388608,0.0005646211360839995
bf16,1024,0.4092793454175113
bf16,2048,0.3450166894318456
bf16,4096,0.2321414243222109
bf16,8192,0.17201979968637396
bf16,16384,0.1063244105372737
bf16,32768,0.05639252438923906
bf16,65536,0.034133583450231805
bf16,131072,0.023770085295602063
bf16,262144,0.013300837341222163
bf16,524288,0.0078117255061676185
bf16,1048576,0.004161582215632911
bf16,2097152,0.0021758838906351385
bf16,4194304,0.0011985891253272207
bf16,8388608,0.0006237055539447122
