dtype,n_samples,KL
f64,1024,11.160474846542321
f64,2048,8.535790088889758
f64,4096,5.1694919450933545
f64,8192,2.023475823737612
f64,16384,0.36033645553977034
f64,32768,0.07960718036325425
f64,65536,0.034059940965188815
f64,131072,0.016335194663055785
f64,262144,0.008222901963659372
f64,524288,0.0039211229766435395
f64,1048576,0.0019810421878113066
f64,2097152,0.0009983300731173
f64,4194304,0.0004966258045081848
f64,8388608,0.0002432417634353085
f32,1024,11.160474846542321
f32,2048,8.535790088889758
f32,4096,5.1694919450933545
f32,8192,2.023475823737612
f32,16384,0.36033645553977034
f32,32768,0.07960718036325425
f32,65536,0.034059940965188815
f32,131072,0.01632693607658619
f32,262144,0.008211403635097397
f32,524288,0.003920712530052866
f32,1048576,0.0019821552457703756
f32,2097152,0.0009981985270821334
f32,4194304,0.0004965383459019797
f32,8388608,0.0002432736655509034
f16,1024,11.141853782288742
f16,2048,8.627147314915362
f16,4096,5.214253463014968
f16,8192,2.063293252920709
f16,16384,0.4092086949490604
f16,32768,0.06987675586227204
f16,65536,0.03303779871508719
f16,131072,0.01596461321393483
f16,262144,0.007990793768036936
f16,524288,0.003972997975023408
f16,1048576,0.0019871384318524725
f16,2097152,0.0009858781993436795
f16,4194304,0.0004902522582070584
f16,8388608,0.0002428923370805465
bf16,1024,11.148670378079618
bf16,2048,8.55767014581528
bf16,4096,5.228018470565172
bf16,8192,1.996082722698418
bf16,16384,0.3878478591619949
bf16,32768,0.07307992704090906
bf16,65536,0.03216097486493621
bf16,131072,0.016125357033069707
bf16,262144,0.008211367310444112
bf16,524288,0.004026865916411909
bf16,1048576,0.0019666912020536794
bf16,2097152,0.0010080877702641961
bf16,4194304,0.0004944372764871287
bf16,8388608,0.00025471697933605414
