# ╭───────────────────────────── Timing Information ─────────────────────────────╮
# │ Total (relevant): 1802.245 | Total (excluded): 2942.629 | Total (all):       │
# │ 4744.874                                                                     │
# │ └── (100.0%) | LPS_VMC._forward_and_backward : 4742.188 s                    │
# │     ├── ⊗ computing sigma : 2942.629 s [EXCLUDED]                            │
# │     │   └── (100.0%) | MCState.sample : 2940.645 s                           │
# │     │       └── (100.0%) | sampling n_discarded samples : 1634.186 s         │
# │     ├── (14.4%) | MCState.sample : 259.659 s                                 │
# │     │   └── (100.0%) | sampling n_discarded samples : 148.805 s              │
# │     ├── (79.6%) | MCState.expect_and_grad : 1431.196 s                       │
# │     └── (6.0%) | AbstractLinearPreconditioner.__call__ : 107.684 s           │
# │         ├── (38.3%) | QGTJacobian_DefaultConstructor : 41.153 s              │
# │         │   └── (100.0%) | jacobian : 40.564 s                               │
# │         └── (61.7%) | LinearOperator.solve : 66.325 s                        │
# ╰──────────────────────────────────────────────────────────────────────────────╯
Mean,Variance,Sigma,R_hat,TauCorr,iter_per_sec,total_time,sigma
-500.146484375,187.41604232788288,0.21038979490153784,1.1230306289788665,0.0,-1,1802.245094111131,0.0011003515477639718
-501.1353759229642,183.2247011871492,0.21813906898001306,1.123833698465604,0.03187899646421288,-1,1802.245094111131,0.0019114092745140371
-503.52149397894124,127.57173562808521,0.1729935629027364,1.121172494632821,0.0,0,1802.245094111131,0.002421086841943478
-505.60638257161344,93.20105369802995,0.15508968743312168,1.1195278807386146,0.028536484050040056,0,1802.245094111131,0.0015804383448175816
-506.67255728915427,70.62554013385531,0.13663519863987886,1.128250008730935,0.041368964578627376,0,1802.245094111131,0.001999085443502307
-507.38269167568774,57.00885044845015,0.12079596026492374,1.1201143538089877,0.024194535942376638,0,1802.245094111131,0.001899404256375185
-508.0006112972219,44.438170799433095,0.10729807414918613,1.128969149940636,0.030588255332130942,0,1802.245094111131,0.0018060678168499073
-508.35148766788546,38.18693093465243,0.09759514946074638,1.1257229114129308,0.010824435287264289,0,1802.245094111131,0.001546858923245399
-508.76743181331005,34.87925206041021,0.09136675598376509,1.1193538744285096,0.0,0,1802.245094111131,0.0018219505088815867
-508.7510956032299,31.242536497261064,0.08772042211325012,1.1177181493298651,0.004411630941360989,0,1802.245094111131,0.0013304695466112271
-508.95405384348754,28.7202049469291,0.08659153921948713,1.1276027747404451,0.034679258071697694,0,1802.245094111131,0.0013417817590161006
-509.02897444303295,26.81203155996838,0.0858904862521298,1.1299450229868342,0.06349537160721319,0,1802.245094111131,0.0012519634855940693
-509.210608395623,24.532838084738152,0.08193042803690576,1.1299421728200185,0.060367071717329246,0,1802.245094111131,0.0016505029907384445
-509.1786981034434,23.908964475120193,0.07759272328846428,1.1274149121518477,0.015716676120484996,0,1802.245094111131,0.0011630059380689326
-509.31146906679817,23.23051326291385,0.07708317815316194,1.1245148274311214,0.02383000563367932,0,1802.245094111131,0.001504971084874387
-509.07430310867215,22.914614445144164,0.07826300764169958,1.1271205976444523,0.04743235945799129,0,1802.245094111131,0.001490751663720826
-509.18898523776363,22.55074097015124,0.07714189946047921,1.1304150324779052,0.04044287095429411,0,1802.245094111131,0.0018726560906280262
-509.2911396877251,22.978261778290292,0.07705124887423762,1.1276227701453478,0.02914188989676969,0,1802.245094111131,0.00123378736879062
-509.35011899099175,22.717094534586714,0.07757295740166281,1.12055964088717,0.04249765434919972,0,1802.245094111131,0.0013355563213573174
-509.29036995934865,21.97140123395227,0.07644750408381834,1.127812253715529,0.0447519817291514,0,1802.245094111131,0.0012141152891563386
-509.2533842380847,22.099404652287266,0.0743355947881551,1.122989878948234,0.012086137812166164,0,1802.245094111131,0.0013140226950290792
-509.2660835419046,21.14109521114486,0.07610264636663047,1.1361927739680642,0.061050544599421164,0,1802.245094111131,0.0012173202565907847
-509.39072697634504,21.514179228286338,0.07258169795754132,1.1232279970218026,0.0014866977020198124,0,1802.245094111131,0.0012768304303687843
-509.3863046613757,21.457407721035345,0.07429670332177266,1.1201426293072168,0.026855825359538676,0,1802.245094111131,0.001130124872518206
-509.2377830052504,21.04613959346243,0.07337138840987317,1.1239333585664235,0.02385486354917643,0,1802.245094111131,0.0011675529116530756
-509.3584452086732,22.23413817232828,0.07679892148841774,1.1335383244478578,0.04327521752146457,0,1802.245094111131,0.0018096791291783705
-509.2913172938179,21.66878240203401,0.0722129508960189,1.116303513382353,0.0,0,1802.245094111131,0.0012760109816887944
-509.22923908458773,20.795059301917853,0.07366077473780112,1.1257372924012787,0.03437035095158514,0,1802.245094111131,0.0012628076191839167
-509.3183261365879,21.190363367436547,0.07217560389891091,1.119371630921267,0.0034686128625770474,0,1802.245094111131,0.0013523074196782558
-509.36976273864263,21.62358843819322,0.07461176569487087,1.1288383729438538,0.027250282285262828,0,1802.245094111131,0.001257273201120361
-509.2072913480076,20.549005595235478,0.07314885014631282,1.130963684327091,0.033278591511367805,0,1802.245094111131,0.0012351462754200512
-509.340337842273,21.58078422780504,0.07299642654390977,1.1250830165841395,0.005668534516616641,0,1802.245094111131,0.0012407367619979204
-509.3781137909516,20.97383015350831,0.07211975571186874,1.1251403714283075,0.007879518894957305,0,1802.245094111131,0.0013718835298351445
-509.1439761830618,20.017874926050673,0.07349219821049718,1.1332608485919857,0.052579101926642724,0,1802.245094111131,0.0011622161876555417
-509.27287394582686,22.09098332351526,0.07672809247105934,1.131200850743016,0.04578765373583005,0,1802.245094111131,0.001551808648748767
-509.3500605983317,21.09182978027505,0.07274365339280803,1.1230138550856061,0.013813974794625095,0,1802.245094111131,0.0013239157881592251
