Sigmas,RE_e_mean,RE_e_error,RE_heis_mean,RE_heis_error,E_mean,E_error,E_delta_mean,E_delta_error,E_heis_mean,E_heis_error,E_heis_delta_mean,E_heis_delta_error
0.001,4.170136299808733e-08,2.9448393301582408e-08,0.000307570762917608,0.00022780652640098334,-88.728789364423,4.29375233992918e-06,-88.72878907760095,4.988945583364039e-06,-18.75828303090902,0.02024535687949419,-18.75786282496072,0.020624400207192316
0.0011497569953977356,4.0717256922449494e-08,3.301153204829446e-08,0.0003332001240045213,0.00026865477732544826,-88.728789364423,4.29375233992918e-06,-88.72878833730962,5.130429912611193e-06,-18.75828303090902,0.02024535687949419,-18.76144422495121,0.02046643867311202
0.0013219411484660286,4.513423872691475e-08,3.58137409653015e-08,0.0004592191293492356,0.00030682420109788897,-88.728789364423,4.29375233992918e-06,-88.72878857344358,5.6961244787478035e-06,-18.75828303090902,0.02024535687949419,-18.761400362727482,0.020945620085076902
0.0015199110829529332,5.128520692705791e-08,3.970464602519352e-08,0.0004336146893387206,0.00037127532537117576,-88.728789364423,4.29375233992918e-06,-88.72878918130314,7.24520006962378e-06,-18.75828303090902,0.02024535687949419,-18.759966051668407,0.02019329766892121
0.001747528400007683,4.112907989404311e-08,4.074814631679288e-08,0.0004571184556061178,0.0002921815892296805,-88.728789364423,4.29375233992918e-06,-88.72879024066846,6.325663893815972e-06,-18.75828303090902,0.02024535687949419,-18.759347170786718,0.023049952423939292
0.002009233002565048,5.6615543451364414e-08,4.032258762350631e-08,0.0004869565173455928,0.00032052170348941645,-88.728789364423,4.29375233992918e-06,-88.72879019127937,6.305975360916354e-06,-18.75828303090902,0.02024535687949419,-18.7568522264244,0.019797933022678817
0.0023101297000831605,4.728058713607525e-08,3.480368004010756e-08,0.0005429241889211819,0.00037065163145088106,-88.728789364423,4.29375233992918e-06,-88.72878996051843,6.0540250333768505e-06,-18.75828303090902,0.02024535687949419,-18.757754944630488,0.021332510051441978
0.0026560877829466868,4.197046621914942e-08,2.3019764521744642e-08,0.0006311088891653516,0.00038541187234468466,-88.728789364423,4.29375233992918e-06,-88.72878882776597,3.983856733872471e-06,-18.75828303090902,0.02024535687949419,-18.761648055133726,0.021197472697718187
0.0030538555088334154,3.530459556939129e-08,2.5609174063436723e-08,0.0007299639175253868,0.00062594142708073,-88.728789364423,4.29375233992918e-06,-88.72878908480568,3.965715293805019e-06,-18.75828303090902,0.02024535687949419,-18.759208043812528,0.024916700348081303
0.003511191734215131,3.8171754309601144e-08,2.364119806514441e-08,0.0006961504995110423,0.00044001755101882227,-88.728789364423,4.29375233992918e-06,-88.72879038180348,3.952921473081726e-06,-18.75828303090902,0.02024535687949419,-18.760052017415134,0.024726214124380964
0.004037017258596553,4.757401887701177e-08,4.21561306326403e-08,0.0005698948127586254,0.0004554490065850102,-88.728789364423,4.29375233992918e-06,-88.72879047279446,6.005367460724818e-06,-18.75828303090902,0.02024535687949419,-18.758740603715857,0.019262564968969508
0.004641588833612782,5.006077366268718e-08,2.983211780173142e-08,0.0007312902264816604,0.0005995660501892866,-88.728789364423,4.29375233992918e-06,-88.72878937928361,4.79171653447017e-06,-18.75828303090902,0.02024535687949419,-18.7598462310847,0.019276003412489105
0.005336699231206312,4.1447538652959534e-08,2.998198610998119e-08,0.0006362842273287441,0.0003382721886916784,-88.728789364423,4.29375233992918e-06,-88.728789386388,4.721529971198148e-06,-18.75828303090902,0.02024535687949419,-18.75898561093704,0.021047987692803864
0.006135907273413175,5.4394693597068134e-08,4.784050802707244e-08,0.0006209466769663943,0.0004627162725025722,-88.728789364423,4.29375233992918e-06,-88.72879144765224,5.801970334731987e-06,-18.75828303090902,0.02024535687949419,-18.75719030216281,0.02299963664697294
0.007054802310718645,4.483999282962386e-08,2.782825060698321e-08,0.0009180943566696655,0.0006343110304456541,-88.728789364423,4.29375233992918e-06,-88.72878922822768,4.358781173325984e-06,-18.75828303090902,0.02024535687949419,-18.760871302047548,0.02526822173801646
0.008111308307896872,5.4429809405021814e-08,3.4663659821155e-08,0.0006108126565555211,0.0003661702719571633,-88.728789364423,4.29375233992918e-06,-88.72879050804633,5.505675706466424e-06,-18.75828303090902,0.02024535687949419,-18.760227445896092,0.018152327855115252
0.0093260334688322,5.403082488209729e-08,3.660710443989151e-08,0.0007934365345908636,0.00046092887204910387,-88.728789364423,4.29375233992918e-06,-88.72879065137629,4.052841661696546e-06,-18.75828303090902,0.02024535687949419,-18.759389632915212,0.020893318284311888
