E_delta_error,E_delta_mean,E_error,E_heis_delta_error,E_heis_delta_mean,E_heis_error,E_heis_mean,E_mean,RE_e_error,RE_e_mean,RE_heis_error,RE_heis_mean,Sigmas,re_e_error,re_e_mean,re_heis_error,re_heis_mean,sigma
4.4875685774349386e-06,-96.66783062602761,5.551221680670473e-06,0.015779688144966834,-18.545366070059988,0.014935673178963292,-18.54505617182285,-96.66783074559018,2.15413496586278e-08,2.9189021707941986e-08,0.00032361539803022507,0.0005660257051458384,0.001,,,,,
3.753351970237497e-06,-96.66783056064995,5.551221680670473e-06,0.012508864144833041,-18.544530721682534,0.014935673178963292,-18.54505617182285,-96.66783074559018,2.796771325382249e-08,3.484663749339549e-08,0.0004001380230832751,0.0005067390839848681,0.0011497569953977356,,,,,
5.286565379195191e-06,-96.6678307692578,5.551221680670473e-06,0.014712167531868593,-18.544838854344622,0.014935673178963292,-18.54505617182285,-96.66783074559018,3.058390588716099e-08,4.315087533208224e-08,0.0004051451079482836,0.0005372786981166038,0.0013219411484660286,,,,,
5.810556107076704e-06,-96.66783059641438,5.551221680670473e-06,0.014813565128031739,-18.54288600888512,0.014935673178963292,-18.54505617182285,-96.66783074559018,3.600635891300773e-08,3.930566915850008e-08,0.0003297971101457971,0.00046676797530115514,0.0015199110829529332,,,,,
4.079670998174773e-06,-96.6678317264253,5.551221680670473e-06,0.01629838999254273,-18.54195378223391,0.014935673178963292,-18.54505617182285,-96.66783074559018,2.2075765486469325e-08,3.969499276812747e-08,0.00042598643226010157,0.0006403788683914031,0.001747528400007683,,,,,
5.247823952071957e-06,-96.66783200721156,5.551221680670473e-06,0.01446407874627631,-18.54634276146803,0.014935673178963292,-18.54505617182285,-96.66783074559018,2.5132090199486988e-08,5.3483552478018736e-08,0.000470454284635944,0.0005616667492902241,0.002009233002565048,,,,,
5.9465023675825575e-06,-96.66783201292792,5.551221680670473e-06,0.014077830969504664,-18.54686321907804,0.014935673178963292,-18.54505617182285,-96.66783074559018,2.987689329321311e-08,6.080271362234092e-08,0.0004156814631741208,0.0006144809724917584,0.0023101297000831605,,,,,
6.402701374867952e-06,-96.6678329090466,5.551221680670473e-06,0.015516229827873344,-18.54440027475482,0.014935673178963292,-18.54505617182285,-96.66783074559018,4.581312896502632e-08,6.345444121321359e-08,0.0004323105164616924,0.0006225745150627074,0.0026560877829466868,,,,,
4.557773536671545e-06,-96.66783249498499,5.551221680670473e-06,0.016434003520895184,-18.54157556916499,0.014935673178963292,-18.54505617182285,-96.66783074559018,3.7568252148861193e-08,5.661912522245173e-08,0.0005213330948845006,0.000512327713531352,0.0030538555088334154,,,,,
5.104746821638718e-06,-96.6678322987461,5.551221680670473e-06,0.01636991437689274,-18.544153183769886,0.014935673178963292,-18.54505617182285,-96.66783074559018,4.090437062259172e-08,6.103730350071898e-08,0.00040283286240948025,0.0005969721036375574,0.003511191734215131,,,,,
4.992372236654551e-06,-96.66783379240613,5.551221680670473e-06,0.014969372198584926,-18.540695889276968,0.014935673178963292,-18.54505617182285,-96.66783074559018,5.15939772484932e-08,6.591294246093114e-08,0.0004902319148899639,0.0006972159890511032,0.004037017258596553,,,,,
5.180791647116294e-06,-96.66783164892122,5.551221680670473e-06,0.017488662304127545,-18.544231378920863,0.014935673178963292,-18.54505617182285,-96.66783074559018,5.229478850046066e-08,6.056841632124658e-08,0.0004666421559959506,0.0007444994246911309,0.004641588833612782,,,,,
4.1343679098399e-06,-96.66783221586974,5.551221680670473e-06,0.013913356801835166,-18.543833676555387,0.014935673178963292,-18.54505617182285,-96.66783074559018,3.5216320441729103e-08,4.392934516926187e-08,0.000569098284733399,0.0004923641173866997,0.005336699231206312,,,,,
5.558403658452073e-06,-96.66782921096065,5.551221680670473e-06,0.019515853993796132,-18.543734193943955,0.014935673178963292,-18.54505617182285,-96.66783074559018,3.918915517092802e-08,6.538683113346967e-08,0.0006081064038109719,0.0008674233702776037,0.006135907273413175,,,,,
5.166958442200162e-06,-96.66783350070543,5.551221680670473e-06,0.017252553193411773,-18.540331786191352,0.014935673178963292,-18.54505617182285,-96.66783074559018,4.2757620241874225e-08,5.186344408405095e-08,0.0007344618808742407,0.0008891389903716747,0.007054802310718645,,,,,
4.880077401839542e-06,-96.66783109336151,5.551221680670473e-06,0.013724885790661018,-18.542785479974196,0.014935673178963292,-18.54505617182285,-96.66783074559018,3.2734717253811524e-08,4.3334524181369584e-08,0.0004400287273766591,0.0006759095511314026,0.008111308307896872,,,,,
5.5914422308203265e-06,-96.66783114846923,5.551221680670473e-06,0.01986924024344957,-18.54616703488221,0.014935673178963292,-18.54505617182285,-96.66783074559018,5.604096308138872e-08,6.156472769878329e-08,0.0006499827361224628,0.0007786115411417593,0.0093260334688322,,,,,
5.73743579039094e-06,-96.66783393314503,5.551221680670473e-06,0.017793112891420878,-18.546717698153987,0.014935673178963292,-18.54505617182285,-96.66783074559018,5.010970637134893e-08,7.483172417600053e-08,0.0007115434981933335,0.0008060748868380342,0.010722672220103232,,,,,
5.154906191275537e-06,-96.66783240067478,5.551221680670473e-06,0.01884355978797893,-18.54604369842143,0.014935673178963292,-18.54505617182285,-96.66783074559018,4.965663039675046e-08,6.08541245241823e-08,0.000540723429172533,0.0006852118298138088,0.012328467394420659,,,,,
5.807003445844422e-06,-96.66783109522386,5.551221680670473e-06,0.02220251749095733,-18.542547265028464,0.014935673178963292,-18.54505617182285,-96.66783074559018,5.68809803400877e-08,6.752830821022983e-08,0.0007910138455303717,0.0009259409299584031,0.014174741629268055,,,,,
5.6691222880421035e-06,-96.66783352336668,5.551221680670473e-06,0.023327903881171754,-18.54506726826873,0.014935673178963292,-18.54505617182285,-96.66783074559018,5.367222045468458e-08,7.111693741665045e-08,0.0006341957832276737,0.0009350859869965815,0.016297508346206444,,,,,
6.87057287810241e-06,-96.66783143120409,5.551221680670473e-06,0.020636042560369917,-18.53935647376982,0.014935673178963292,-18.54505617182285,-96.66783074559018,4.020539637641184e-08,4.314511757303984e-08,0.0005815027260099473,0.0009842209644853029,0.01873817422860384,,,,,
5.7591945208251485e-06,-96.66783098782017,5.551221680670473e-06,0.022476753693841438,-18.548708886512564,0.014935673178963292,-18.54505617182285,-96.66783074559018,5.4660837476868895e-08,7.195581857668651e-08,0.000909717671806138,0.0009709815606318419,0.021544346900318843,,,,,
