dtypes,E_mean_ref,E_error_ref,E_mean_delta,E_error_delta,z
f32,-17.01653018484953,0.00012426521091130608,-17.016530184849522,0.00011480489220538707,4.9902607782985335e-06
f16,-17.01653018484953,0.00012426521091130608,-17.016520520522615,0.00011545318640235795,0.07981065579396524
bf16,-17.01653018484953,0.00012426521091130608,-17.016506138826607,0.00011633422990455124,0.22604501489490952
