dtypes,E_mean_ref,E_error_ref,E_mean_delta,E_error_delta,z
f32,-12.754916080480076,0.0005993484779147796,-12.75484769937152,0.0003912992270126164,0.19644057191600592
f16,-12.754916080480076,0.0005993484779147796,-12.7548946074254,0.0003900242347717759,0.08520864032241789
bf16,-12.754916080480076,0.0005993484779147796,-12.754198312581433,0.00039928514460605536,0.3987645621174777
