dtypes,E_mean_ref,E_error_ref,E_mean_delta,E_error_delta,z
f32,-28.56620843905892,0.000612203149063467,-28.566221870308127,0.0006263770588866335,0.0153271719479149
f16,-28.56620843905892,0.000612203149063467,-28.56537410509219,0.0006259353527973353,0.8989990653418249
bf16,-28.56620843905892,0.000612203149063467,-28.564988420900868,0.0006249107384753355,0.8380093792611149
