dtypes,E_mean_ref,E_error_ref,E_mean_delta,E_error_delta
f32,-21.548286921611265,0.00036595565617364895,-21.548227034813685,0.00038129720268609236
f16,-21.548286921611265,0.00036595565617364895,-21.548429755410297,0.00038257130339764875
bf16,-21.548286921611265,0.00036595565617364895,-21.548638947523553,0.00038883753676915517
