dtype,n_therm,E_mean,E_error,M_z_mean,M_z_error
f64,1024,-111.92872510998392,0.25967848971247365,0.0,0.0
f64,2048,-112.6544804013061,0.13145518966197656,0.0,0.0
f64,4096,-113.01844678210477,0.06663405917939404,0.0,0.0
f64,8192,-113.20529358620641,0.03400912033805388,0.0,0.0
f64,16384,-113.28665635561381,0.017647083608660533,0.0,0.0
f64,32768,-113.33778141063027,0.009408970626548784,0.0,0.0
f64,65536,-113.36344753727866,0.005249272091557925,0.0,0.0
f64,131072,-113.37407719947501,0.0030976870404044554,0.0,0.0
f64,262144,-113.38065655124797,0.0019297218268306594,0.0,0.0
f64,524288,-113.38372975059343,0.0012647346404591638,0.0,0.0
f32,1024,-111.91220521235388,0.259603922389546,0.0,0.0
f32,2048,-112.63461582223262,0.13137108538427097,0.0,0.0
f32,4096,-113.00805831555809,0.066583103219778,0.0,0.0
f32,8192,-113.21366836413097,0.03398242753635514,0.0,0.0
f32,16384,-113.2971878018885,0.01762468726006085,0.0,0.0
f32,32768,-113.33703455537821,0.00940977900765063,0.0,0.0
f32,65536,-113.35848078116342,0.0052425488313004726,0.0,0.0
f32,131072,-113.37335491577758,0.003088624412540352,0.0,0.0
f32,262144,-113.38179672120056,0.0019315605807332993,0.0,0.0
f32,524288,-113.38587208427329,0.0012645356529127647,0.0,0.0
f16,1024,-112.56646959717291,0.1724222011878893,0.0,0.0
f16,2048,-112.97541299341356,0.0877237129028672,0.0,0.0
f16,4096,-113.16936251759043,0.04493100540546524,0.0,0.0
f16,8192,-113.27525147659964,0.02342344311926943,0.0,0.0
f16,16384,-113.32834291847706,0.012577683694186487,0.0,0.0
f16,32768,-113.36182954219422,0.007089352971456667,0.0,0.0
f16,65536,-113.37462222567082,0.004230805579437598,0.0,0.0
f16,131072,-113.38418480033928,0.0026694407623141484,0.0,0.0
f16,262144,-113.38601070009196,0.0017662319422877676,0.0,0.0
f16,524288,-113.38633629225293,0.0012038954561798408,0.0,0.0
bf16,1024,-110.7702546505387,0.3266578106012978,0.0,0.0
bf16,2048,-112.06931200687583,0.16631839446684937,0.0,0.0
bf16,4096,-112.74266423251431,0.08434119517237232,0.0,0.0
bf16,8192,-113.0590644746725,0.0428352139272473,0.0,0.0
bf16,16384,-113.2179139450518,0.021971922726964733,0.0,0.0
bf16,32768,-113.30175989505088,0.011467961159973577,0.0,0.0
bf16,65536,-113.34099600898779,0.006186710034332995,0.0,0.0
bf16,131072,-113.36070987109515,0.0035039287646729043,0.0,0.0
bf16,262144,-113.37527777228493,0.0020952017247142574,0.0,0.0
bf16,524288,-113.37980073612454,0.001328831632637444,0.0,0.0
