dtype,n_therm,E_mean,E_error,M_z_mean,M_z_error
f64,1024,-68.04194188830162,0.01066502702159983,0.002105712890625,0.0009757756811147507
f64,2048,-68.05212081170409,0.005537250252997115,0.0020904541015625,0.0006921901127402439
f64,4096,-68.06061859113956,0.002967651338494233,0.0018463134765625,0.0004894541807739304
f64,8192,-68.06354530421756,0.0016253971666448947,0.000629425048828125,0.0003417014226238282
f64,16384,-68.06555008503129,0.0009286300418682806,-0.000339508056640625,0.00024385783210115045
f64,32768,-68.06562292375801,0.0005734758310217505,-2.6702880859375e-05,0.00017324348010281756
f64,65536,-68.06596559022819,0.0003643252851134209,8.20159912109375e-05,0.0001222876281304971
f64,131072,-68.06605507695195,0.00024718414675725133,6.198883056640625e-05,8.641135448960974e-05
f64,262144,-68.0656939240608,0.00017324499625167306,-6.079673767089844e-06,6.124886871839085e-05
f64,524288,-68.06577498051513,0.00011958887457464176,3.4570693969726562e-06,4.332991182495387e-05
f32,1024,-68.04194188830162,0.01066502702159983,0.002105712890625,0.0009757756811147507
f32,2048,-68.05212081170409,0.005537250252997115,0.0020904541015625,0.0006921901127402439
f32,4096,-68.06061859113956,0.002967651338494233,0.0018463134765625,0.0004894541807739304
f32,8192,-68.06354530421756,0.0016253971666448947,0.000629425048828125,0.0003417014226238282
f32,16384,-68.06555104789203,0.0009286316569381878,-0.0003414154052734375,0.00024383529086399212
f32,32768,-68.06561831418112,0.0005734899083084773,-3.0517578125e-05,0.00017323821099109068
f32,65536,-68.06595766529227,0.00036446052598255237,8.20159912109375e-05,0.00012227833110174636
f32,131072,-68.0660553747083,0.0002471633191080649,6.4849853515625e-05,8.640081265073138e-05
f32,262144,-68.06569491954352,0.0001732505041920068,-6.198883056640625e-06,6.124759255919509e-05
f32,524288,-68.06577460834214,0.00011958177992905246,4.589557647705078e-06,4.332855873238528e-05
f16,1024,-68.04489898035881,0.009180038394453556,0.00238037109375,0.0009746812790804461
f16,2048,-68.05375085197062,0.004821725562588894,0.0022430419921875,0.0006926294854616266
f16,4096,-68.06066371297396,0.0026726642682713317,0.0018463134765625,0.0004890972798039246
f16,8192,-68.0635695948948,0.0014943826085887719,0.000640869140625,0.0003419329740024754
f16,16384,-68.06568045231191,0.0008699925925148104,-0.0003223419189453125,0.0002439562039524026
f16,32768,-68.06567363879492,0.00055341399341136,-2.765655517578125e-05,0.00017374934328943437
f16,65536,-68.06607163326214,0.000356296981599171,0.000110626220703125,0.00012274938690176566
f16,131072,-68.06607779897261,0.0002448857006818535,0.00011777877807617188,8.672412749289788e-05
f16,262144,-68.06570918761284,0.00017328778291286336,4.2438507080078125e-05,6.14479100471796e-05
f16,524288,-68.06575982018366,0.0001195611417860631,3.534555435180664e-05,4.34605063021172e-05
bf16,1024,-68.04686904285674,0.009322542089534511,0.00201416015625,0.0009444419293207854
bf16,2048,-68.05455514255358,0.004906547266226284,0.0018463134765625,0.000678947715180747
bf16,4096,-68.0616022124973,0.002661581433307297,0.001708984375,0.000481423258518114
bf16,8192,-68.06354995473896,0.0015081484347087063,0.000652313232421875,0.000338358068194235
bf16,16384,-68.06538747368302,0.0008745149337500062,-0.000308990478515625,0.00024182291033769882
bf16,32768,-68.06518203769367,0.0005443107391358113,-6.67572021484375e-05,0.00017202616836971933
bf16,65536,-68.0656747166576,0.0003483821658993679,2.6226043701171875e-05,0.0001213276086749972
bf16,131072,-68.06593559868298,0.00024182501984275158,1.1920928955078125e-05,8.578298518845442e-05
bf16,262144,-68.0656730901866,0.00016875522389989044,-1.8477439880371094e-05,6.080268713319056e-05
bf16,524288,-68.0656922455369,0.00011838888801266524,-4.410743713378906e-06,4.297664314084271e-05
