# ╭───────────────────────────── Timing Information ─────────────────────────────╮
# │ Total (relevant): 2112.366 | Total (excluded): 2950.741 | Total (all):       │
# │ 5063.107                                                                     │
# │ └── (100.0%) | LPS_VMC._forward_and_backward : 5060.152 s                    │
# │     ├── ⊗ computing sigma : 2950.741 s [EXCLUDED]                            │
# │     │   └── (100.0%) | MCState.sample : 2948.570 s                           │
# │     │       └── (100.0%) | sampling n_discarded samples : 1638.571 s         │
# │     ├── (24.3%) | MCState.sample : 513.218 s                                 │
# │     │   └── (100.0%) | sampling n_discarded samples : 289.640 s              │
# │     ├── (68.0%) | MCState.expect_and_grad : 1433.482 s                       │
# │     └── (7.7%) | AbstractLinearPreconditioner.__call__ : 161.516 s           │
# │         ├── (25.7%) | QGTJacobian_DefaultConstructor : 41.379 s              │
# │         │   └── (100.0%) | jacobian : 40.684 s                               │
# │         └── (74.3%) | LinearOperator.solve : 119.889 s                       │
# ╰──────────────────────────────────────────────────────────────────────────────╯
Mean,Variance,Sigma,R_hat,TauCorr,iter_per_sec,total_time,sigma
-100.009765625,195.70302963256802,0.21955484249911872,1.1253829527449346,0.004450369013131117,-1,2112.3660501820377,1.0754748519332666e-10
-101.02716584516627,192.75764961014013,0.22594506330047104,1.1277723473489631,0.04240544906727617,-1,2112.3660501820377,1.1686624444976636e-08
-104.73597890569083,180.35889254137288,0.22029433563893389,1.127063728711778,0.05106020976204606,0,2112.3660501820377,1.4041516323234478e-08
-107.89764369164732,171.09140681175174,0.21191600633608618,1.1229716077617582,0.037562885806745605,0,2112.3660501820377,3.4372697944289726e-08
-110.95941249623488,163.36179036908274,0.19728785557695322,1.1186623402910103,0.0,0,2112.3660501820377,5.940080108784828e-08
-113.7487234928396,141.13645857559504,0.19012286275771267,1.1286860887356023,0.024516828428128967,0,2112.3660501820377,6.234532753569862e-08
-115.85960238242862,136.42677324327485,0.18876929283309948,1.135632538099971,0.03492518149120982,0,2112.3660501820377,7.374490498060538e-08
-118.62441727055683,134.8746215427205,0.18752815443558446,1.1328238795266532,0.033989444464237684,0,2112.3660501820377,1.4544721859162863e-07
-120.71045202855458,130.8340334704405,0.19361691362778027,1.1460625804614362,0.08680770509526692,0,2112.3660501820377,1.1519610869405737e-07
-122.83154524100452,125.50601996989639,0.1906323250823222,1.1395875549061238,0.09300517658051755,0,2112.3660501820377,1.2489045691597504e-07
-125.25305130627815,126.91362158117556,0.19331005304735352,1.1459495285650616,0.10301844311196418,0,2112.3660501820377,1.4045655810781182e-07
-127.10887059627655,120.6526514898921,0.19224221753843598,1.1454274685046604,0.12732214206107328,0,2112.3660501820377,1.6655726384566123e-07
-128.82011972907196,120.46818393495269,0.19942854044472844,1.153637955860724,0.1761331206214407,0,2112.3660501820377,2.265292423887787e-07
-130.1441159652588,111.74195437736847,0.19166588674974658,1.1589512035884884,0.17329181496097212,0,2112.3660501820377,2.034132016900707e-07
